epsilon, alpha, beta, pop, dif1, dif2, difratio, winner, time
.01, 1.25, 1, 50, 8.0, 10, 0.80000000000000004, 1, 6
.01, 1.025, 1, 50, 8.0, 10, 0.80000000000000004, 2, 11
.01, 1.1375, 1, 50, 8.0, 10, 0.80000000000000004, 1, 12
.01, 1.0812499999999998, 1, 50, 8.0, 10, 0.80000000000000004, 1, 26
.01, 1.0531249999999999, 1, 50, 8.0, 10, 0.80000000000000004, 2, 17
.01, 1.0671874999999997, 1, 50, 8.0, 10, 0.80000000000000004, 2, 44
.01, 1.0742187499999998, 1, 50, 8.0, 10, 0.80000000000000004, 1, 33
.01, 1.0707031249999996, 1, 50, 8.0, 10, 0.80000000000000004, 1, 41
.01, 1.0689453124999997, 1, 50, 8.0, 10, 0.80000000000000004, 1, 49
.01, 1.0680664062499998, 1, 50, 8.0, 10, 0.80000000000000004, 1, 61
.01, 1.0676269531249998, 1, 50, 8.0, 10, 0.80000000000000004, 2, 58
.01, 1.0678466796875, 1, 50, 8.0, 10, 0.80000000000000004, 1, 70
.01, 1.0677368164062497, 1, 50, 8.0, 10, 0.80000000000000004, 3, 80
.01, 1.25, 1, 50, 8.4000000000000004, 10, 0.84000000000000008, 1, 7
.01, 1.025, 1, 50, 8.4000000000000004, 10, 0.84000000000000008, 2, 8
.01, 1.1375, 1, 50, 8.4000000000000004, 10, 0.84000000000000008, 1, 15
.01, 1.0812499999999998, 1, 50, 8.4000000000000004, 10, 0.84000000000000008, 2, 18
.01, 1.109375, 1, 50, 8.4000000000000004, 10, 0.84000000000000008, 1, 25
.01, 1.0953125, 1, 50, 8.4000000000000004, 10, 0.84000000000000008, 1, 56
.01, 1.0882812499999999, 1, 50, 8.4000000000000004, 10, 0.84000000000000008, 2, 24
.01, 1.091796875, 1, 50, 8.4000000000000004, 10, 0.84000000000000008, 2, 30
.01, 1.0935546875, 1, 50, 8.4000000000000004, 10, 0.84000000000000008, 2, 37
.01, 1.0944335937499998, 1, 50, 8.4000000000000004, 10, 0.84000000000000008, 2, 48
.01, 1.0948730468749999, 1, 50, 8.4000000000000004, 10, 0.84000000000000008, 1, 72
.01, 1.0946533203124997, 1, 50, 8.4000000000000004, 10, 0.84000000000000008, 2, 58
.01, 1.09476318359375, 1, 50, 8.4000000000000004, 10, 0.84000000000000008, 2, 78
.01, 1.094818115234375, 1, 50, 8.4000000000000004, 10, 0.84000000000000008, 1, 79
.01, 1.0947906494140625, 1, 50, 8.4000000000000004, 10, 0.84000000000000008, 3, 80
.01, 1.25, 1, 50, 8.8000000000000007, 10, 0.88000000000000012, 1, 7
.01, 1.025, 1, 50, 8.8000000000000007, 10, 0.88000000000000012, 2, 7
.01, 1.1375, 1, 50, 8.8000000000000007, 10, 0.88000000000000012, 1, 23
.01, 1.0812499999999998, 1, 50, 8.8000000000000007, 10, 0.88000000000000012, 2, 11
.01, 1.109375, 1, 50, 8.8000000000000007, 10, 0.88000000000000012, 2, 19
.01, 1.1234375, 1, 50, 8.8000000000000007, 10, 0.88000000000000012, 1, 43
.01, 1.11640625, 1, 50, 8.8000000000000007, 10, 0.88000000000000012, 2, 26
.01, 1.1199218750000002, 1, 50, 8.8000000000000007, 10, 0.88000000000000012, 2, 37
.01, 1.1216796875000001, 1, 50, 8.8000000000000007, 10, 0.88000000000000012, 1, 59
.01, 1.1208007812500003, 1, 50, 8.8000000000000007, 10, 0.88000000000000012, 2, 45
.01, 1.121240234375, 1, 50, 8.8000000000000007, 10, 0.88000000000000012, 2, 64
.01, 1.1214599609375, 1, 50, 8.8000000000000007, 10, 0.88000000000000012, 1, 67
.01, 1.12135009765625, 1, 50, 8.8000000000000007, 10, 0.88000000000000012, 1, 79
.01, 1.1212951660156252, 1, 50, 8.8000000000000007, 10, 0.88000000000000012, 2, 79
.01, 1.1213226318359375, 1, 50, 8.8000000000000007, 10, 0.88000000000000012, 3, 80
.01, 1.25, 1, 50, 9.1999999999999993, 10, 0.91999999999999993, 1, 8
.01, 1.025, 1, 50, 9.1999999999999993, 10, 0.91999999999999993, 2, 6
.01, 1.1375, 1, 50, 9.1999999999999993, 10, 0.91999999999999993, 2, 21
.01, 1.19375, 1, 50, 9.1999999999999993, 10, 0.91999999999999993, 1, 14
.01, 1.165625, 1, 50, 9.1999999999999993, 10, 0.91999999999999993, 1, 22
.01, 1.1515624999999998, 1, 50, 9.1999999999999993, 10, 0.91999999999999993, 1, 36
.01, 1.14453125, 1, 50, 9.1999999999999993, 10, 0.91999999999999993, 2, 31
.01, 1.148046875, 1, 50, 9.1999999999999993, 10, 0.91999999999999993, 1, 53
.01, 1.1462890625, 1, 50, 9.1999999999999993, 10, 0.91999999999999993, 2, 39
.01, 1.1471679687499998, 1, 50, 9.1999999999999993, 10, 0.91999999999999993, 2, 55
.01, 1.1476074218749999, 1, 50, 9.1999999999999993, 10, 0.91999999999999993, 1, 62
.01, 1.1473876953124997, 1, 50, 9.1999999999999993, 10, 0.91999999999999993, 3, 80
.01, 1.25, 1, 50, 9.5999999999999996, 10, 0.95999999999999996, 1, 10
.01, 1.025, 1, 50, 9.5999999999999996, 10, 0.95999999999999996, 2, 6
.01, 1.1375, 1, 50, 9.5999999999999996, 10, 0.95999999999999996, 2, 12
.01, 1.19375, 1, 50, 9.5999999999999996, 10, 0.95999999999999996, 1, 20
.01, 1.165625, 1, 50, 9.5999999999999996, 10, 0.95999999999999996, 2, 23
.01, 1.1796875, 1, 50, 9.5999999999999996, 10, 0.95999999999999996, 1, 31
.01, 1.17265625, 1, 50, 9.5999999999999996, 10, 0.95999999999999996, 2, 51
.01, 1.176171875, 1, 50, 9.5999999999999996, 10, 0.95999999999999996, 1, 38
.01, 1.1744140625, 1, 50, 9.5999999999999996, 10, 0.95999999999999996, 1, 45
.01, 1.1735351562499998, 1, 50, 9.5999999999999996, 10, 0.95999999999999996, 1, 54
.01, 1.173095703125, 1, 50, 9.5999999999999996, 10, 0.95999999999999996, 1, 67
.01, 1.1728759765625, 1, 50, 9.5999999999999996, 10, 0.95999999999999996, 2, 64
.01, 1.17298583984375, 1, 50, 9.5999999999999996, 10, 0.95999999999999996, 1, 79
.01, 1.1729309082031252, 1, 50, 9.5999999999999996, 10, 0.95999999999999996, 2, 78
.01, 1.1729583740234375, 1, 50, 9.5999999999999996, 10, 0.95999999999999996, 3, 80
.01, 1.25, 1, 50, 10.0, 10, 1.0, 1, 12
.01, 1.025, 1, 50, 10.0, 10, 1.0, 2, 5
.01, 1.1375, 1, 50, 10.0, 10, 1.0, 2, 10
.01, 1.19375, 1, 50, 10.0, 10, 1.0, 2, 28
