epsilon, alpha, beta, pop, dif1, dif2, difratio, blobsize, winner, time, converged
.01, 2.15, 1, 50, 1.0, 20.0, 0.050000000000000003, 27.0, 1, 4, 0
.01, 1.275, 1, 50, 1.0, 20.0, 0.050000000000000003, 27.0, 1, 6, 0
.01, 0.8374999999999999, 1, 50, 1.0, 20.0, 0.050000000000000003, 27.0, 1, 9, 0
.01, 0.6187499999999999, 1, 50, 1.0, 20.0, 0.050000000000000003, 27.0, 1, 15, 0
.01, 0.5093749999999999, 1, 50, 1.0, 20.0, 0.050000000000000003, 27.0, 1, 24, 0
.01, 0.45468749999999997, 1, 50, 1.0, 20.0, 0.050000000000000003, 27.0, 1, 35, 0
.01, 0.42734375, 1, 50, 1.0, 20.0, 0.050000000000000003, 27.0, 1, 45, 0
.01, 0.413671875, 1, 50, 1.0, 20.0, 0.050000000000000003, 27.0, 1, 54, 0
.01, 0.4068359375, 1, 50, 1.0, 20.0, 0.050000000000000003, 27.0, 2, 5, 0
.01, 0.41025390625, 1, 50, 1.0, 20.0, 0.050000000000000003, 27.0, 2, 7, 0
.01, 0.411962890625, 1, 50, 1.0, 20.0, 0.050000000000000003, 27.0, 1, 56, 0
.01, 0.4111083984375, 1, 50, 1.0, 20.0, 0.050000000000000003, 27.0, 1, 57, 0
.01, 0.41068115234375, 1, 50, 1.0, 20.0, 0.050000000000000003, 27.0, 2, 8, 0
.01, 0.410894775390625, 1, 50, 1.0, 20.0, 0.050000000000000003, 27.0, 1, 58, 0
.01, 0.4107879638671875, 1, 50, 1.0, 20.0, 0.050000000000000003, 27.0, 1, 58, 0
.01, 0.41073455810546877, 1, 50, 1.0, 20.0, 0.050000000000000003, 27.0, 1, 58, 0
.01, 0.4107078552246094, 1, 50, 1.0, 20.0, 0.050000000000000003, 27.0, 1, 58, 0
.01, 0.4106945037841797, 1, 50, 1.0, 20.0, 0.050000000000000003, 27.0, 1, 58, 0
.01, 0.41068782806396487, 1, 50, 1.0, 20.0, 0.050000000000000003, 27.0, 1, 58, 0
.01, 0.41068449020385744, 1, 50, 1.0, 20.0, 0.050000000000000003, 27.0, 2, 8, 0
.01, 0.41068615913391116, 1, 50, 1.0, 20.0, 0.050000000000000003, 27.0, 3, 8, 1
.01, 2.15, 1, 50, 2.0, 19.0, 0.10526315789473684, 27.0, 1, 3, 0
.01, 1.275, 1, 50, 2.0, 19.0, 0.10526315789473684, 27.0, 1, 5, 0
.01, 0.8374999999999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 27.0, 1, 8, 0
.01, 0.6187499999999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 27.0, 1, 17, 0
.01, 0.5093749999999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 27.0, 1, 34, 0
.01, 0.45468749999999997, 1, 50, 2.0, 19.0, 0.10526315789473684, 27.0, 2, 6, 0
.01, 0.4820312499999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 27.0, 1, 44, 0
.01, 0.4683593749999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 27.0, 1, 53, 0
.01, 0.4615234374999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 27.0, 2, 10, 0
.01, 0.4649414062499999, 1, 50, 2.0, 19.0, 0.10526315789473684, 27.0, 1, 57, 0
.01, 0.4632324218749999, 1, 50, 2.0, 19.0, 0.10526315789473684, 27.0, 1, 60, 0
.01, 0.4623779296874999, 1, 50, 2.0, 19.0, 0.10526315789473684, 27.0, 3, 60, 0
.01, 2.15, 1, 50, 3.0, 18.0, 0.16666666666666666, 27.0, 1, 3, 0
.01, 1.275, 1, 50, 3.0, 18.0, 0.16666666666666666, 27.0, 1, 4, 0
