epsilon, alpha, beta, pop, dif1, dif2, difratio, blobsize, winner, time, converged
.01, 2.15, 1, 50, 1.0, 20.0, 0.050000000000000003, 30.0, 1, 4, 0
.01, 1.275, 1, 50, 1.0, 20.0, 0.050000000000000003, 30.0, 1, 6, 0
.01, 0.8374999999999999, 1, 50, 1.0, 20.0, 0.050000000000000003, 30.0, 1, 10, 0
.01, 0.6187499999999999, 1, 50, 1.0, 20.0, 0.050000000000000003, 30.0, 1, 17, 0
.01, 0.5093749999999999, 1, 50, 1.0, 20.0, 0.050000000000000003, 30.0, 1, 26, 0
.01, 0.45468749999999997, 1, 50, 1.0, 20.0, 0.050000000000000003, 30.0, 1, 36, 0
.01, 0.42734375, 1, 50, 1.0, 20.0, 0.050000000000000003, 30.0, 1, 45, 0
.01, 0.413671875, 1, 50, 1.0, 20.0, 0.050000000000000003, 30.0, 1, 52, 0
.01, 0.4068359375, 1, 50, 1.0, 20.0, 0.050000000000000003, 30.0, 1, 57, 0
.01, 0.40341796875, 1, 50, 1.0, 20.0, 0.050000000000000003, 30.0, 1, 60, 0
.01, 0.401708984375, 1, 50, 1.0, 20.0, 0.050000000000000003, 30.0, 3, 60, 0
.01, 2.15, 1, 50, 2.0, 19.0, 0.10526315789473684, 30.0, 1, 3, 0
.01, 1.275, 1, 50, 2.0, 19.0, 0.10526315789473684, 30.0, 1, 5, 0
.01, 0.8374999999999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 30.0, 1, 9, 0
.01, 0.6187499999999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 30.0, 1, 18, 0
.01, 0.5093749999999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 30.0, 1, 35, 0
.01, 0.45468749999999997, 1, 50, 2.0, 19.0, 0.10526315789473684, 30.0, 3, 60, 0
.01, 2.15, 1, 50, 3.0, 18.0, 0.16666666666666666, 30.0, 1, 3, 0
.01, 1.275, 1, 50, 3.0, 18.0, 0.16666666666666666, 30.0, 1, 5, 0
.01, 0.8374999999999999, 1, 50, 3.0, 18.0, 0.16666666666666666, 30.0, 1, 10, 0
.01, 0.6187499999999999, 1, 50, 3.0, 18.0, 0.16666666666666666, 30.0, 1, 24, 0
.01, 0.5093749999999999, 1, 50, 3.0, 18.0, 0.16666666666666666, 30.0, 3, 60, 0
.01, 2.15, 1, 50, 4.0, 17.0, 0.23529411764705882, 30.0, 1, 3, 0
.01, 1.275, 1, 50, 4.0, 17.0, 0.23529411764705882, 30.0, 1, 5, 0
.01, 0.8374999999999999, 1, 50, 4.0, 17.0, 0.23529411764705882, 30.0, 1, 11, 0
