epsilon, alpha, beta, pop, dif1, dif2, difratio, blobsize, winner, time, converged
.01, 2.15, 1, 50, 1.0, 20.0, 0.050000000000000003, 26.0, 1, 4, 0
.01, 1.275, 1, 50, 1.0, 20.0, 0.050000000000000003, 26.0, 1, 6, 0
.01, 0.8374999999999999, 1, 50, 1.0, 20.0, 0.050000000000000003, 26.0, 1, 9, 0
.01, 0.6187499999999999, 1, 50, 1.0, 20.0, 0.050000000000000003, 26.0, 1, 15, 0
.01, 0.5093749999999999, 1, 50, 1.0, 20.0, 0.050000000000000003, 26.0, 1, 24, 0
.01, 0.45468749999999997, 1, 50, 1.0, 20.0, 0.050000000000000003, 26.0, 1, 35, 0
.01, 0.42734375, 1, 50, 1.0, 20.0, 0.050000000000000003, 26.0, 1, 46, 0
.01, 0.413671875, 1, 50, 1.0, 20.0, 0.050000000000000003, 26.0, 2, 5, 0
.01, 0.4205078125, 1, 50, 1.0, 20.0, 0.050000000000000003, 26.0, 1, 51, 0
.01, 0.41708984375, 1, 50, 1.0, 20.0, 0.050000000000000003, 26.0, 1, 54, 0
.01, 0.415380859375, 1, 50, 1.0, 20.0, 0.050000000000000003, 26.0, 2, 6, 0
.01, 0.4162353515625, 1, 50, 1.0, 20.0, 0.050000000000000003, 26.0, 2, 6, 0
.01, 0.41666259765625, 1, 50, 1.0, 20.0, 0.050000000000000003, 26.0, 2, 7, 0
.01, 0.416876220703125, 1, 50, 1.0, 20.0, 0.050000000000000003, 26.0, 2, 7, 0
.01, 0.4169830322265625, 1, 50, 1.0, 20.0, 0.050000000000000003, 26.0, 1, 55, 0
.01, 0.41692962646484377, 1, 50, 1.0, 20.0, 0.050000000000000003, 26.0, 1, 55, 0
.01, 0.4169029235839844, 1, 50, 1.0, 20.0, 0.050000000000000003, 26.0, 2, 7, 0
.01, 0.4169162750244141, 1, 50, 1.0, 20.0, 0.050000000000000003, 26.0, 2, 7, 0
.01, 0.41692295074462893, 1, 50, 1.0, 20.0, 0.050000000000000003, 26.0, 1, 55, 0
.01, 0.4169196128845215, 1, 50, 1.0, 20.0, 0.050000000000000003, 26.0, 2, 7, 0
.01, 0.4169212818145752, 1, 50, 1.0, 20.0, 0.050000000000000003, 26.0, 3, 7, 1
.01, 2.15, 1, 50, 2.0, 19.0, 0.10526315789473684, 26.0, 1, 3, 0
.01, 1.275, 1, 50, 2.0, 19.0, 0.10526315789473684, 26.0, 1, 5, 0
.01, 0.8374999999999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 26.0, 1, 9, 0
.01, 0.6187499999999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 26.0, 1, 17, 0
.01, 0.5093749999999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 26.0, 1, 34, 0
.01, 0.45468749999999997, 1, 50, 2.0, 19.0, 0.10526315789473684, 26.0, 2, 5, 0
.01, 0.4820312499999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 26.0, 1, 45, 0
.01, 0.4683593749999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 26.0, 2, 8, 0
.01, 0.4751953124999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 26.0, 1, 50, 0
.01, 0.4717773437499999, 1, 50, 2.0, 19.0, 0.10526315789473684, 26.0, 1, 54, 0
.01, 0.4700683593749999, 1, 50, 2.0, 19.0, 0.10526315789473684, 26.0, 1, 56, 0
