epsilon, alpha, beta, pop, dif1, dif2, difratio, blobsize, winner, time, converged
.01, 2.15, 1, 50, 1.0, 20.0, 0.050000000000000003, 29.0, 1, 4, 0
.01, 1.275, 1, 50, 1.0, 20.0, 0.050000000000000003, 29.0, 1, 6, 0
.01, 0.8374999999999999, 1, 50, 1.0, 20.0, 0.050000000000000003, 29.0, 1, 10, 0
.01, 0.6187499999999999, 1, 50, 1.0, 20.0, 0.050000000000000003, 29.0, 1, 16, 0
.01, 0.5093749999999999, 1, 50, 1.0, 20.0, 0.050000000000000003, 29.0, 1, 25, 0
.01, 0.45468749999999997, 1, 50, 1.0, 20.0, 0.050000000000000003, 29.0, 1, 35, 0
.01, 0.42734375, 1, 50, 1.0, 20.0, 0.050000000000000003, 29.0, 1, 44, 0
.01, 0.413671875, 1, 50, 1.0, 20.0, 0.050000000000000003, 29.0, 1, 52, 0
.01, 0.4068359375, 1, 50, 1.0, 20.0, 0.050000000000000003, 29.0, 1, 57, 0
.01, 0.40341796875, 1, 50, 1.0, 20.0, 0.050000000000000003, 29.0, 3, 60, 0
.01, 2.15, 1, 50, 2.0, 19.0, 0.10526315789473684, 29.0, 1, 3, 0
.01, 1.275, 1, 50, 2.0, 19.0, 0.10526315789473684, 29.0, 1, 5, 0
.01, 0.8374999999999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 29.0, 1, 9, 0
.01, 0.6187499999999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 29.0, 1, 18, 0
.01, 0.5093749999999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 29.0, 1, 34, 0
.01, 0.45468749999999997, 1, 50, 2.0, 19.0, 0.10526315789473684, 29.0, 3, 60, 0
.01, 2.15, 1, 50, 3.0, 18.0, 0.16666666666666666, 29.0, 1, 3, 0
.01, 1.275, 1, 50, 3.0, 18.0, 0.16666666666666666, 29.0, 1, 5, 0
.01, 0.8374999999999999, 1, 50, 3.0, 18.0, 0.16666666666666666, 29.0, 1, 9, 0
.01, 0.6187499999999999, 1, 50, 3.0, 18.0, 0.16666666666666666, 29.0, 1, 23, 0
.01, 0.5093749999999999, 1, 50, 3.0, 18.0, 0.16666666666666666, 29.0, 2, 11, 0
.01, 0.5640624999999999, 1, 50, 3.0, 18.0, 0.16666666666666666, 29.0, 1, 36, 0
.01, 0.5367187499999999, 1, 50, 3.0, 18.0, 0.16666666666666666, 29.0, 1, 48, 0
.01, 0.5230468749999999, 1, 50, 3.0, 18.0, 0.16666666666666666, 29.0, 1, 59, 0
.01, 0.5162109374999999, 1, 50, 3.0, 18.0, 0.16666666666666666, 29.0, 3, 60, 0
.01, 2.15, 1, 50, 4.0, 17.0, 0.23529411764705882, 29.0, 1, 3, 0
.01, 1.275, 1, 50, 4.0, 17.0, 0.23529411764705882, 29.0, 1, 5, 0
.01, 0.8374999999999999, 1, 50, 4.0, 17.0, 0.23529411764705882, 29.0, 1, 11, 0
.01, 0.6187499999999999, 1, 50, 4.0, 17.0, 0.23529411764705882, 29.0, 1, 40, 0
.01, 0.5093749999999999, 1, 50, 4.0, 17.0, 0.23529411764705882, 29.0, 2, 4, 0
.01, 0.5640624999999999, 1, 50, 4.0, 17.0, 0.23529411764705882, 29.0, 2, 9, 0
.01, 0.5914062499999999, 1, 50, 4.0, 17.0, 0.23529411764705882, 29.0, 3, 60, 0
.01, 2.15, 1, 50, 5.0, 16.0, 0.3125, 29.0, 1, 2, 0
.01, 1.275, 1, 50, 5.0, 16.0, 0.3125, 29.0, 1, 5, 0
.01, 0.8374999999999999, 1, 50, 5.0, 16.0, 0.3125, 29.0, 1, 13, 0
.01, 0.6187499999999999, 1, 50, 5.0, 16.0, 0.3125, 29.0, 2, 8, 0
.01, 0.7281249999999999, 1, 50, 5.0, 16.0, 0.3125, 29.0, 1, 26, 0
.01, 0.6734374999999999, 1, 50, 5.0, 16.0, 0.3125, 29.0, 1, 50, 0
.01, 0.6460937499999999, 1, 50, 5.0, 16.0, 0.3125, 29.0, 2, 17, 0
.01, 0.6597656249999999, 1, 50, 5.0, 16.0, 0.3125, 29.0, 3, 60, 0
.01, 2.15, 1, 50, 6.0, 15.0, 0.40000000000000002, 29.0, 1, 2, 0
.01, 1.275, 1, 50, 6.0, 15.0, 0.40000000000000002, 29.0, 1, 5, 0
.01, 0.8374999999999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 29.0, 1, 19, 0
.01, 0.6187499999999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 29.0, 2, 5, 0
.01, 0.7281249999999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 29.0, 2, 34, 0
.01, 0.7828124999999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 29.0, 1, 30, 0
.01, 0.7554687499999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 29.0, 1, 44, 0
.01, 0.7417968749999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 29.0, 1, 58, 0
.01, 0.7349609374999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 29.0, 3, 60, 0
.01, 2.15, 1, 50, 7.0, 14.0, 0.5, 29.0, 1, 2, 0
.01, 1.275, 1, 50, 7.0, 14.0, 0.5, 29.0, 1, 5, 0
.01, 0.8374999999999999, 1, 50, 7.0, 14.0, 0.5, 29.0, 1, 40, 0
.01, 0.6187499999999999, 1, 50, 7.0, 14.0, 0.5, 29.0, 2, 4, 0
.01, 0.7281249999999999, 1, 50, 7.0, 14.0, 0.5, 29.0, 2, 8, 0
.01, 0.7828124999999999, 1, 50, 7.0, 14.0, 0.5, 29.0, 2, 15, 0
.01, 0.8101562499999999, 1, 50, 7.0, 14.0, 0.5, 29.0, 3, 60, 0
.01, 2.15, 1, 50, 8.0, 13.0, 0.61538461538461542, 29.0, 1, 2, 0
.01, 1.275, 1, 50, 8.0, 13.0, 0.61538461538461542, 29.0, 1, 6, 0
.01, 0.8374999999999999, 1, 50, 8.0, 13.0, 0.61538461538461542, 29.0, 2, 12, 0
.01, 1.05625, 1, 50, 8.0, 13.0, 0.61538461538461542, 29.0, 1, 12, 0
.01, 0.9468749999999999, 1, 50, 8.0, 13.0, 0.61538461538461542, 29.0, 1, 27, 0
.01, 0.8921874999999999, 1, 50, 8.0, 13.0, 0.61538461538461542, 29.0, 2, 49, 0
.01, 0.9195312499999999, 1, 50, 8.0, 13.0, 0.61538461538461542, 29.0, 1, 40, 0
.01, 0.9058593749999999, 1, 50, 8.0, 13.0, 0.61538461538461542, 29.0, 1, 55, 0
.01, 0.8990234374999999, 1, 50, 8.0, 13.0, 0.61538461538461542, 29.0, 3, 60, 0
.01, 2.15, 1, 50, 9.0, 12.0, 0.75, 29.0, 1, 2, 0
.01, 1.275, 1, 50, 9.0, 12.0, 0.75, 29.0, 1, 7, 0
.01, 0.8374999999999999, 1, 50, 9.0, 12.0, 0.75, 29.0, 2, 7, 0
.01, 1.05625, 1, 50, 9.0, 12.0, 0.75, 29.0, 1, 20, 0
.01, 0.9468749999999999, 1, 50, 9.0, 12.0, 0.75, 29.0, 2, 17, 0
.01, 1.0015625, 1, 50, 9.0, 12.0, 0.75, 29.0, 1, 47, 0
.01, 0.9742187499999999, 1, 50, 9.0, 12.0, 0.75, 29.0, 2, 32, 0
.01, 0.9878906249999999, 1, 50, 9.0, 12.0, 0.75, 29.0, 3, 60, 0
.01, 2.15, 1, 50, 10.0, 11.0, 0.90909090909090906, 29.0, 1, 2, 0
.01, 1.275, 1, 50, 10.0, 11.0, 0.90909090909090906, 29.0, 1, 9, 0
.01, 0.8374999999999999, 1, 50, 10.0, 11.0, 0.90909090909090906, 29.0, 2, 6, 0
.01, 1.05625, 1, 50, 10.0, 11.0, 0.90909090909090906, 29.0, 2, 24, 0
.01, 1.165625, 1, 50, 10.0, 11.0, 0.90909090909090906, 29.0, 1, 17, 0
.01, 1.1109375, 1, 50, 10.0, 11.0, 0.90909090909090906, 29.0, 1, 35, 0
.01, 1.08359375, 1, 50, 10.0, 11.0, 0.90909090909090906, 29.0, 3, 60, 0
.01, 2.15, 1, 50, 11.0, 10.0, 1.1000000000000001, 29.0, 1, 3, 0
.01, 1.275, 1, 50, 11.0, 10.0, 1.1000000000000001, 29.0, 1, 16, 0
