epsilon, alpha, beta, initpop1, initpop2, dif1, dif2, difratio, winner, time
.01, 1.0, 1, 50, 50, 8.0, 10, 0.80000000000000004, 1, 25
.01, 0.75, 1, 50, 50, 8.0, 10, 0.80000000000000004, 2, 13
.01, 0.875, 1, 50, 50, 8.0, 10, 0.80000000000000004, 3, 200
.01, 1.0, 1, 50, 50, 8.137931034482758, 10, 0.81379310344827582, 1, 26
.01, 0.75, 1, 50, 50, 8.137931034482758, 10, 0.81379310344827582, 2, 13
.01, 0.875, 1, 50, 50, 8.137931034482758, 10, 0.81379310344827582, 2, 99
.01, 0.9375, 1, 50, 50, 8.137931034482758, 10, 0.81379310344827582, 1, 62
.01, 0.90625, 1, 50, 50, 8.137931034482758, 10, 0.81379310344827582, 1, 176
.01, 0.890625, 1, 50, 50, 8.137931034482758, 10, 0.81379310344827582, 3, 200
.01, 1.0, 1, 50, 50, 8.2758620689655178, 10, 0.82758620689655182, 1, 28
.01, 0.75, 1, 50, 50, 8.2758620689655178, 10, 0.82758620689655182, 2, 12
.01, 0.875, 1, 50, 50, 8.2758620689655178, 10, 0.82758620689655182, 2, 66
.01, 0.9375, 1, 50, 50, 8.2758620689655178, 10, 0.82758620689655182, 1, 74
.01, 0.90625, 1, 50, 50, 8.2758620689655178, 10, 0.82758620689655182, 3, 200
.01, 1.0, 1, 50, 50, 8.4137931034482758, 10, 0.8413793103448276, 1, 30
.01, 0.75, 1, 50, 50, 8.4137931034482758, 10, 0.8413793103448276, 2, 12
.01, 0.875, 1, 50, 50, 8.4137931034482758, 10, 0.8413793103448276, 2, 51
.01, 0.9375, 1, 50, 50, 8.4137931034482758, 10, 0.8413793103448276, 1, 93
.01, 0.90625, 1, 50, 50, 8.4137931034482758, 10, 0.8413793103448276, 3, 200
.01, 1.0, 1, 50, 50, 8.5517241379310338, 10, 0.85517241379310338, 1, 33
.01, 0.75, 1, 50, 50, 8.5517241379310338, 10, 0.85517241379310338, 2, 11
.01, 0.875, 1, 50, 50, 8.5517241379310338, 10, 0.85517241379310338, 2, 42
