epsilon, alpha, pop1, pop2, dif1, dif2, difratio, blobsize, winner
.01, 1.25, 162.5, 100, 1.0, 20.0, 0.050000000000000003, 15.0, 2
.01, 1.625, 181.25, 100, 1.0, 20.0, 0.050000000000000003, 15.0, 2
.01, 1.8125, 190.625, 100, 1.0, 20.0, 0.050000000000000003, 15.0, 2
.01, 1.90625, 195.3125, 100, 1.0, 20.0, 0.050000000000000003, 15.0, 1
.01, 1.859375, 192.96875, 100, 1.0, 20.0, 0.050000000000000003, 15.0, 1
.01, 1.8359375, 191.796875, 100, 1.0, 20.0, 0.050000000000000003, 15.0, 1
.01, 1.82421875, 191.2109375, 100, 1.0, 20.0, 0.050000000000000003, 15.0, 2
.01, 1.830078125, 191.50390625, 100, 1.0, 20.0, 0.050000000000000003, 15.0, 1
.01, 1.8271484375, 191.357421875, 100, 1.0, 20.0, 0.050000000000000003, 15.0, 1
.01, 1.82568359375, 191.2841796875, 100, 1.0, 20.0, 0.050000000000000003, 15.0, 2
.01, 1.826416015625, 191.32080078125, 100, 1.0, 20.0, 0.050000000000000003, 15.0, 1
.01, 1.8260498046875, 191.302490234375, 100, 1.0, 20.0, 0.050000000000000003, 15.0, 2
.01, 1.82623291015625, 191.3116455078125, 100, 1.0, 20.0, 0.050000000000000003, 15.0, 2
.01, 1.826324462890625, 191.31622314453125, 100, 1.0, 20.0, 0.050000000000000003, 15.0, 1
.01, 1.8262786865234375, 191.31393432617188, 100, 1.0, 20.0, 0.050000000000000003, 15.0, 1
.01, 1.8262557983398438, 191.3127899169922, 100, 1.0, 20.0, 0.050000000000000003, 15.0, 2
.01, 1.8262672424316406, 191.31336212158203, 100, 1.0, 20.0, 0.050000000000000003, 15.0, 1
.01, 1.8262615203857422, 191.3130760192871, 100, 1.0, 20.0, 0.050000000000000003, 15.0, 1
.01, 1.826258659362793, 191.31293296813965, 100, 1.0, 20.0, 0.050000000000000003, 15.0, 2
.01, 1.8262600898742676, 191.31300449371338, 100, 1.0, 20.0, 0.050000000000000003, 15.0, 1
.01, 1.8262593746185303, 191.3129687309265, 100, 1.0, 20.0, 0.050000000000000003, 15.0, 2
.01, 1.826259732246399, 191.31298661231995, 100, 1.0, 20.0, 0.050000000000000003, 15.0, 2
.01, 1.8262599110603333, 191.31299555301666, 100, 1.0, 20.0, 0.050000000000000003, 15.0, 1
.01, 1.826259821653366, 191.3129910826683, 100, 1.0, 20.0, 0.050000000000000003, 15.0, 2
.01, 1.8262598663568497, 191.31299331784248, 100, 1.0, 20.0, 0.050000000000000003, 15.0, 3
.01, 1.25, 162.5, 100, 2.0, 19.0, 0.10526315789473684, 15.0, 2
.01, 1.625, 181.25, 100, 2.0, 19.0, 0.10526315789473684, 15.0, 2
.01, 1.8125, 190.625, 100, 2.0, 19.0, 0.10526315789473684, 15.0, 1
.01, 1.71875, 185.9375, 100, 2.0, 19.0, 0.10526315789473684, 15.0, 1
.01, 1.671875, 183.59375, 100, 2.0, 19.0, 0.10526315789473684, 15.0, 2
.01, 1.6953125, 184.765625, 100, 2.0, 19.0, 0.10526315789473684, 15.0, 1
.01, 1.68359375, 184.1796875, 100, 2.0, 19.0, 0.10526315789473684, 15.0, 2
.01, 1.689453125, 184.47265625, 100, 2.0, 19.0, 0.10526315789473684, 15.0, 1
.01, 1.6865234375, 184.326171875, 100, 2.0, 19.0, 0.10526315789473684, 15.0, 2
.01, 1.68798828125, 184.3994140625, 100, 2.0, 19.0, 0.10526315789473684, 15.0, 2
.01, 1.688720703125, 184.43603515625, 100, 2.0, 19.0, 0.10526315789473684, 15.0, 1
.01, 1.6883544921875, 184.417724609375, 100, 2.0, 19.0, 0.10526315789473684, 15.0, 2
.01, 1.68853759765625, 184.4268798828125, 100, 2.0, 19.0, 0.10526315789473684, 15.0, 2
.01, 1.688629150390625, 184.43145751953125, 100, 2.0, 19.0, 0.10526315789473684, 15.0, 2
.01, 1.6886749267578125, 184.43374633789062, 100, 2.0, 19.0, 0.10526315789473684, 15.0, 1
.01, 1.6886520385742188, 184.43260192871094, 100, 2.0, 19.0, 0.10526315789473684, 15.0, 1
.01, 1.6886405944824219, 184.4320297241211, 100, 2.0, 19.0, 0.10526315789473684, 15.0, 2
.01, 1.6886463165283203, 184.43231582641602, 100, 2.0, 19.0, 0.10526315789473684, 15.0, 2
.01, 1.6886491775512695, 184.43245887756348, 100, 2.0, 19.0, 0.10526315789473684, 15.0, 2
.01, 1.6886506080627441, 184.4325304031372, 100, 2.0, 19.0, 0.10526315789473684, 15.0, 1
.01, 1.6886498928070068, 184.43249464035034, 100, 2.0, 19.0, 0.10526315789473684, 15.0, 2
.01, 1.6886502504348755, 184.43251252174377, 100, 2.0, 19.0, 0.10526315789473684, 15.0, 2
.01, 1.6886504292488098, 184.4325214624405, 100, 2.0, 19.0, 0.10526315789473684, 15.0, 2
.01, 1.688650518655777, 184.43252593278885, 100, 2.0, 19.0, 0.10526315789473684, 15.0, 1
.01, 1.6886504739522934, 184.43252369761467, 100, 2.0, 19.0, 0.10526315789473684, 15.0, 3
.01, 1.25, 162.5, 100, 3.0, 18.0, 0.16666666666666666, 15.0, 2
.01, 1.625, 181.25, 100, 3.0, 18.0, 0.16666666666666666, 15.0, 1
.01, 1.4375, 171.875, 100, 3.0, 18.0, 0.16666666666666666, 15.0, 2
.01, 1.53125, 176.5625, 100, 3.0, 18.0, 0.16666666666666666, 15.0, 2
.01, 1.578125, 178.90625, 100, 3.0, 18.0, 0.16666666666666666, 15.0, 2
.01, 1.6015625, 180.078125, 100, 3.0, 18.0, 0.16666666666666666, 15.0, 1
.01, 1.58984375, 179.4921875, 100, 3.0, 18.0, 0.16666666666666666, 15.0, 2
.01, 1.595703125, 179.78515625, 100, 3.0, 18.0, 0.16666666666666666, 15.0, 2
.01, 1.5986328125, 179.931640625, 100, 3.0, 18.0, 0.16666666666666666, 15.0, 1
.01, 1.59716796875, 179.8583984375, 100, 3.0, 18.0, 0.16666666666666666, 15.0, 1
.01, 1.596435546875, 179.82177734375, 100, 3.0, 18.0, 0.16666666666666666, 15.0, 2
.01, 1.5968017578125, 179.840087890625, 100, 3.0, 18.0, 0.16666666666666666, 15.0, 1
.01, 1.59661865234375, 179.8309326171875, 100, 3.0, 18.0, 0.16666666666666666, 15.0, 1
.01, 1.596527099609375, 179.82635498046875, 100, 3.0, 18.0, 0.16666666666666666, 15.0, 1
.01, 1.5964813232421875, 179.82406616210938, 100, 3.0, 18.0, 0.16666666666666666, 15.0, 1
.01, 1.5964584350585938, 179.8229217529297, 100, 3.0, 18.0, 0.16666666666666666, 15.0, 2
.01, 1.5964698791503906, 179.82349395751953, 100, 3.0, 18.0, 0.16666666666666666, 15.0, 2
.01, 1.596475601196289, 179.82378005981445, 100, 3.0, 18.0, 0.16666666666666666, 15.0, 2
.01, 1.5964784622192383, 179.8239231109619, 100, 3.0, 18.0, 0.16666666666666666, 15.0, 1
.01, 1.5964770317077637, 179.82385158538818, 100, 3.0, 18.0, 0.16666666666666666, 15.0, 2
