epsilon, alpha, pop, dif1, dif2, difratio, winner, time
.01, 2.15, 50, 1.0, 20.0, 0.050000000000000003, 1, 5
.01, 1.2249999999999999, 50, 1.0, 20.0, 0.050000000000000003, 1, 9
.01, 0.7625, 50, 1.0, 20.0, 0.050000000000000003, 1, 15
.01, 0.53125, 50, 1.0, 20.0, 0.050000000000000003, 1, 25
.01, 0.415625, 50, 1.0, 20.0, 0.050000000000000003, 1, 42
.01, 0.3578125, 50, 1.0, 20.0, 0.050000000000000003, 1, 65
.01, 0.32890624999999996, 50, 1.0, 20.0, 0.050000000000000003, 1, 91
.01, 0.314453125, 50, 1.0, 20.0, 0.050000000000000003, 1, 115
.01, 0.3072265625, 50, 1.0, 20.0, 0.050000000000000003, 2, 7
.01, 0.31083984375, 50, 1.0, 20.0, 0.050000000000000003, 1, 124
.01, 0.30903320312500004, 50, 1.0, 20.0, 0.050000000000000003, 2, 7
.01, 0.3099365234375, 50, 1.0, 20.0, 0.050000000000000003, 2, 8
.01, 0.31038818359375, 50, 1.0, 20.0, 0.050000000000000003, 2, 9
.01, 0.310614013671875, 50, 1.0, 20.0, 0.050000000000000003, 2, 9
.01, 0.31072692871093754, 50, 1.0, 20.0, 0.050000000000000003, 2, 10
.01, 0.31078338623046875, 50, 1.0, 20.0, 0.050000000000000003, 1, 124
.01, 0.31075515747070315, 50, 1.0, 20.0, 0.050000000000000003, 1, 124
.01, 0.31074104309082035, 50, 1.0, 20.0, 0.050000000000000003, 2, 10
.01, 0.3107481002807617, 50, 1.0, 20.0, 0.050000000000000003, 2, 10
.01, 0.31075162887573243, 50, 1.0, 20.0, 0.050000000000000003, 1, 124
.01, 0.31074986457824705, 50, 1.0, 20.0, 0.050000000000000003, 1, 124
.01, 0.3107489824295044, 50, 1.0, 20.0, 0.050000000000000003, 1, 124
.01, 0.3107485413551331, 50, 1.0, 20.0, 0.050000000000000003, 1, 124
.01, 0.3107483208179474, 50, 1.0, 20.0, 0.050000000000000003, 2, 10
.01, 0.31074843108654027, 50, 1.0, 20.0, 0.050000000000000003, 2, 10
.01, 0.3107484862208367, 50, 1.0, 20.0, 0.050000000000000003, 3, 10
.01, 2.15, 50, 2.0, 19.0, 0.10526315789473684, 1, 4
.01, 1.2249999999999999, 50, 2.0, 19.0, 0.10526315789473684, 1, 7
.01, 0.7625, 50, 2.0, 19.0, 0.10526315789473684, 1, 13
.01, 0.53125, 50, 2.0, 19.0, 0.10526315789473684, 1, 27
.01, 0.415625, 50, 2.0, 19.0, 0.10526315789473684, 1, 60
.01, 0.3578125, 50, 2.0, 19.0, 0.10526315789473684, 1, 136
.01, 0.32890624999999996, 50, 2.0, 19.0, 0.10526315789473684, 2, 5
.01, 0.34335937499999997, 50, 2.0, 19.0, 0.10526315789473684, 2, 7
.01, 0.3505859375, 50, 2.0, 19.0, 0.10526315789473684, 2, 9
.01, 0.35419921875, 50, 2.0, 19.0, 0.10526315789473684, 2, 11
