epsilon, alpha, beta, initpop1, initpop2, dif1, dif2, difratio, winner, time
.01, 1.2492187499999998, 1, 162.4609375, 100, 8.0, 10.0, 0.80000000000000004, 2, 28
.01, 1.251953125, 1, 162.59765625, 100, 8.0, 10.0, 0.80000000000000004, 1, 53
.01, 1.2505859375, 1, 162.529296875, 100, 8.0, 10.0, 0.80000000000000004, 2, 40
.01, 1.25126953125, 1, 162.5634765625, 100, 8.0, 10.0, 0.80000000000000004, 1, 61
.01, 1.2509277343749998, 1, 162.54638671875, 100, 8.0, 10.0, 0.80000000000000004, 1, 76
.01, 1.2507568359374999, 1, 162.53784179687497, 100, 8.0, 10.0, 0.80000000000000004, 2, 47
.01, 1.2508422851562497, 1, 162.54211425781247, 100, 8.0, 10.0, 0.80000000000000004, 2, 55
.01, 1.2508850097656248, 1, 162.54425048828125, 100, 8.0, 10.0, 0.80000000000000004, 1, 93
.01, 1.2508636474609371, 1, 162.54318237304685, 100, 8.0, 10.0, 0.80000000000000004, 2, 61
.01, 1.250874328613281, 1, 162.54371643066406, 100, 8.0, 10.0, 0.80000000000000004, 2, 68
.01, 1.250879669189453, 1, 162.54398345947266, 100, 8.0, 10.0, 0.80000000000000004, 2, 84
.01, 1.2508823394775388, 1, 162.54411697387692, 100, 8.0, 10.0, 0.80000000000000004, 1, 99
.01, 1.250881004333496, 1, 162.5440502166748, 100, 8.0, 10.0, 0.80000000000000004, 3, 100
.01, 1.2, 1, 160.0, 100, 9.0, 10.0, 0.90000000000000002, 2, 10
.01, 1.5499999999999998, 1, 177.5, 100, 9.0, 10.0, 0.90000000000000002, 1, 7
.01, 1.375, 1, 168.75, 100, 9.0, 10.0, 0.90000000000000002, 1, 11
.01, 1.2875, 1, 164.375, 100, 9.0, 10.0, 0.90000000000000002, 1, 19
.01, 1.24375, 1, 162.1875, 100, 9.0, 10.0, 0.90000000000000002, 1, 33
.01, 1.2218749999999998, 1, 161.09375, 100, 9.0, 10.0, 0.90000000000000002, 2, 15
.01, 1.2328124999999999, 1, 161.64062499999997, 100, 9.0, 10.0, 0.90000000000000002, 2, 41
.01, 1.23828125, 1, 161.9140625, 100, 9.0, 10.0, 0.90000000000000002, 1, 39
.01, 1.2355468749999998, 1, 161.77734375, 100, 9.0, 10.0, 0.90000000000000002, 1, 44
.01, 1.2341796874999997, 1, 161.70898437499997, 100, 9.0, 10.0, 0.90000000000000002, 1, 50
.01, 1.23349609375, 1, 161.6748046875, 100, 9.0, 10.0, 0.90000000000000002, 1, 56
.01, 1.233154296875, 1, 161.65771484375, 100, 9.0, 10.0, 0.90000000000000002, 1, 65
.01, 1.2329833984374998, 1, 161.649169921875, 100, 9.0, 10.0, 0.90000000000000002, 2, 53
.01, 1.23306884765625, 1, 161.6534423828125, 100, 9.0, 10.0, 0.90000000000000002, 1, 71
.01, 1.2330261230468749, 1, 161.65130615234372, 100, 9.0, 10.0, 0.90000000000000002, 1, 81
.01, 1.2330047607421872, 1, 161.65023803710935, 100, 9.0, 10.0, 0.90000000000000002, 2, 61
.01, 1.2330154418945312, 1, 161.65077209472656, 100, 9.0, 10.0, 0.90000000000000002, 1, 98
.01, 1.2330101013183592, 1, 161.65050506591797, 100, 9.0, 10.0, 0.90000000000000002, 2, 67
.01, 1.2330127716064452, 1, 161.65063858032224, 100, 9.0, 10.0, 0.90000000000000002, 2, 73
.01, 1.2330141067504883, 1, 161.6507053375244, 100, 9.0, 10.0, 0.90000000000000002, 2, 83
