epsilon, alpha, beta, pop, dif1, dif2, difratio, blobsize, winner, time, converged
.01, 2.15, 1, 50, 1.0, 20.0, 0.050000000000000003, 25.0, 1, 3, 0
.01, 1.275, 1, 50, 1.0, 20.0, 0.050000000000000003, 25.0, 1, 5, 0
.01, 0.8374999999999999, 1, 50, 1.0, 20.0, 0.050000000000000003, 25.0, 1, 9, 0
.01, 0.6187499999999999, 1, 50, 1.0, 20.0, 0.050000000000000003, 25.0, 1, 15, 0
.01, 0.5093749999999999, 1, 50, 1.0, 20.0, 0.050000000000000003, 25.0, 1, 24, 0
.01, 0.45468749999999997, 1, 50, 1.0, 20.0, 0.050000000000000003, 25.0, 1, 34, 0
.01, 0.42734375, 1, 50, 1.0, 20.0, 0.050000000000000003, 25.0, 1, 46, 0
.01, 0.413671875, 1, 50, 1.0, 20.0, 0.050000000000000003, 25.0, 2, 4, 0
.01, 0.4205078125, 1, 50, 1.0, 20.0, 0.050000000000000003, 25.0, 2, 6, 0
.01, 0.42392578125, 1, 50, 1.0, 20.0, 0.050000000000000003, 25.0, 1, 50, 0
.01, 0.422216796875, 1, 50, 1.0, 20.0, 0.050000000000000003, 25.0, 1, 52, 0
.01, 0.4213623046875, 1, 50, 1.0, 20.0, 0.050000000000000003, 25.0, 2, 6, 0
.01, 0.42178955078125, 1, 50, 1.0, 20.0, 0.050000000000000003, 25.0, 2, 7, 0
.01, 0.422003173828125, 1, 50, 1.0, 20.0, 0.050000000000000003, 25.0, 2, 7, 0
.01, 0.4221099853515625, 1, 50, 1.0, 20.0, 0.050000000000000003, 25.0, 1, 52, 0
.01, 0.42205657958984377, 1, 50, 1.0, 20.0, 0.050000000000000003, 25.0, 2, 7, 0
.01, 0.42208328247070315, 1, 50, 1.0, 20.0, 0.050000000000000003, 25.0, 1, 52, 0
.01, 0.42206993103027346, 1, 50, 1.0, 20.0, 0.050000000000000003, 25.0, 1, 52, 0
.01, 0.4220632553100586, 1, 50, 1.0, 20.0, 0.050000000000000003, 25.0, 1, 52, 0
.01, 0.4220599174499512, 1, 50, 1.0, 20.0, 0.050000000000000003, 25.0, 2, 7, 0
.01, 0.4220615863800049, 1, 50, 1.0, 20.0, 0.050000000000000003, 25.0, 3, 7, 1
.01, 2.15, 1, 50, 2.0, 19.0, 0.10526315789473684, 25.0, 1, 3, 0
.01, 1.275, 1, 50, 2.0, 19.0, 0.10526315789473684, 25.0, 1, 4, 0
.01, 0.8374999999999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 25.0, 1, 8, 0
.01, 0.6187499999999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 25.0, 1, 16, 0
.01, 0.5093749999999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 25.0, 1, 34, 0
.01, 0.45468749999999997, 1, 50, 2.0, 19.0, 0.10526315789473684, 25.0, 2, 4, 0
.01, 0.4820312499999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 25.0, 1, 46, 0
.01, 0.4683593749999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 25.0, 2, 6, 0
.01, 0.4751953124999999, 1, 50, 2.0, 19.0, 0.10526315789473684, 25.0, 1, 56, 0
.01, 0.4717773437499999, 1, 50, 2.0, 19.0, 0.10526315789473684, 25.0, 2, 7, 0
.01, 0.4734863281249999, 1, 50, 2.0, 19.0, 0.10526315789473684, 25.0, 2, 8, 0
.01, 0.4743408203124999, 1, 50, 2.0, 19.0, 0.10526315789473684, 25.0, 2, 10, 0
.01, 0.4747680664062499, 1, 50, 2.0, 19.0, 0.10526315789473684, 25.0, 1, 58, 0
.01, 0.4745544433593749, 1, 50, 2.0, 19.0, 0.10526315789473684, 25.0, 1, 59, 0
.01, 0.4744476318359374, 1, 50, 2.0, 19.0, 0.10526315789473684, 25.0, 1, 59, 0
.01, 0.47439422607421866, 1, 50, 2.0, 19.0, 0.10526315789473684, 25.0, 2, 10, 0
.01, 0.47442092895507804, 1, 50, 2.0, 19.0, 0.10526315789473684, 25.0, 2, 10, 0
.01, 0.4744342803955077, 1, 50, 2.0, 19.0, 0.10526315789473684, 25.0, 2, 10, 0
.01, 0.47444095611572257, 1, 50, 2.0, 19.0, 0.10526315789473684, 25.0, 1, 60, 0
.01, 0.47443761825561515, 1, 50, 2.0, 19.0, 0.10526315789473684, 25.0, 1, 60, 0
.01, 0.47443594932556143, 1, 50, 2.0, 19.0, 0.10526315789473684, 25.0, 3, 60, 1
.01, 2.15, 1, 50, 3.0, 18.0, 0.16666666666666666, 25.0, 1, 2, 0
.01, 1.275, 1, 50, 3.0, 18.0, 0.16666666666666666, 25.0, 1, 4, 0
.01, 0.8374999999999999, 1, 50, 3.0, 18.0, 0.16666666666666666, 25.0, 1, 9, 0
.01, 0.6187499999999999, 1, 50, 3.0, 18.0, 0.16666666666666666, 25.0, 1, 23, 0
.01, 0.5093749999999999, 1, 50, 3.0, 18.0, 0.16666666666666666, 25.0, 2, 5, 0
.01, 0.5640624999999999, 1, 50, 3.0, 18.0, 0.16666666666666666, 25.0, 1, 36, 0
.01, 0.5367187499999999, 1, 50, 3.0, 18.0, 0.16666666666666666, 25.0, 2, 13, 0
.01, 0.5503906249999999, 1, 50, 3.0, 18.0, 0.16666666666666666, 25.0, 1, 44, 0
.01, 0.5435546874999999, 1, 50, 3.0, 18.0, 0.16666666666666666, 25.0, 1, 51, 0
.01, 0.5401367187499999, 1, 50, 3.0, 18.0, 0.16666666666666666, 25.0, 1, 60, 0
.01, 0.5384277343749999, 1, 50, 3.0, 18.0, 0.16666666666666666, 25.0, 2, 20, 0
.01, 0.5392822265624999, 1, 50, 3.0, 18.0, 0.16666666666666666, 25.0, 3, 60, 0
.01, 2.15, 1, 50, 4.0, 17.0, 0.23529411764705882, 25.0, 1, 2, 0
.01, 1.275, 1, 50, 4.0, 17.0, 0.23529411764705882, 25.0, 1, 4, 0
.01, 0.8374999999999999, 1, 50, 4.0, 17.0, 0.23529411764705882, 25.0, 1, 10, 0
.01, 0.6187499999999999, 1, 50, 4.0, 17.0, 0.23529411764705882, 25.0, 1, 45, 0
.01, 0.5093749999999999, 1, 50, 4.0, 17.0, 0.23529411764705882, 25.0, 2, 3, 0
.01, 0.5640624999999999, 1, 50, 4.0, 17.0, 0.23529411764705882, 25.0, 2, 5, 0
.01, 0.5914062499999999, 1, 50, 4.0, 17.0, 0.23529411764705882, 25.0, 2, 9, 0
.01, 0.6050781249999999, 1, 50, 4.0, 17.0, 0.23529411764705882, 25.0, 2, 17, 0
.01, 0.6119140624999999, 1, 50, 4.0, 17.0, 0.23529411764705882, 25.0, 1, 55, 0
.01, 0.6084960937499999, 1, 50, 4.0, 17.0, 0.23529411764705882, 25.0, 3, 60, 0
.01, 2.15, 1, 50, 5.0, 16.0, 0.3125, 25.0, 1, 2, 0
.01, 1.275, 1, 50, 5.0, 16.0, 0.3125, 25.0, 1, 4, 0
.01, 0.8374999999999999, 1, 50, 5.0, 16.0, 0.3125, 25.0, 1, 12, 0
.01, 0.6187499999999999, 1, 50, 5.0, 16.0, 0.3125, 25.0, 2, 5, 0
.01, 0.7281249999999999, 1, 50, 5.0, 16.0, 0.3125, 25.0, 1, 27, 0
.01, 0.6734374999999999, 1, 50, 5.0, 16.0, 0.3125, 25.0, 2, 17, 0
.01, 0.7007812499999999, 1, 50, 5.0, 16.0, 0.3125, 25.0, 1, 37, 0
.01, 0.6871093749999999, 1, 50, 5.0, 16.0, 0.3125, 25.0, 1, 50, 0
.01, 0.6802734374999999, 1, 50, 5.0, 16.0, 0.3125, 25.0, 2, 41, 0
.01, 0.6836914062499999, 1, 50, 5.0, 16.0, 0.3125, 25.0, 1, 57, 0
.01, 0.6819824218749999, 1, 50, 5.0, 16.0, 0.3125, 25.0, 3, 60, 0
.01, 2.15, 1, 50, 6.0, 15.0, 0.40000000000000002, 25.0, 1, 2, 0
.01, 1.275, 1, 50, 6.0, 15.0, 0.40000000000000002, 25.0, 1, 4, 0
.01, 0.8374999999999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 25.0, 1, 19, 0
.01, 0.6187499999999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 25.0, 2, 4, 0
.01, 0.7281249999999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 25.0, 2, 11, 0
.01, 0.7828124999999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 25.0, 1, 33, 0
.01, 0.7554687499999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 25.0, 2, 49, 0
.01, 0.7691406249999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 25.0, 1, 42, 0
.01, 0.7623046874999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 25.0, 1, 50, 0
.01, 0.7588867187499999, 1, 50, 6.0, 15.0, 0.40000000000000002, 25.0, 1, 59, 0
.01, 0.7571777343749999, 1, 50, 6.0, 15.0, 0.40000000000000002, 25.0, 3, 60, 0
.01, 2.15, 1, 50, 7.0, 14.0, 0.5, 25.0, 1, 2, 0
.01, 1.275, 1, 50, 7.0, 14.0, 0.5, 25.0, 1, 5, 0
.01, 0.8374999999999999, 1, 50, 7.0, 14.0, 0.5, 25.0, 3, 60, 0
.01, 2.15, 1, 50, 8.0, 13.0, 0.61538461538461542, 25.0, 1, 2, 0
.01, 1.275, 1, 50, 8.0, 13.0, 0.61538461538461542, 25.0, 1, 5, 0
.01, 0.8374999999999999, 1, 50, 8.0, 13.0, 0.61538461538461542, 25.0, 2, 8, 0
.01, 1.05625, 1, 50, 8.0, 13.0, 0.61538461538461542, 25.0, 1, 11, 0
.01, 0.9468749999999999, 1, 50, 8.0, 13.0, 0.61538461538461542, 25.0, 1, 30, 0
.01, 0.8921874999999999, 1, 50, 8.0, 13.0, 0.61538461538461542, 25.0, 2, 15, 0
.01, 0.9195312499999999, 1, 50, 8.0, 13.0, 0.61538461538461542, 25.0, 3, 60, 0
.01, 2.15, 1, 50, 9.0, 12.0, 0.75, 25.0, 1, 2, 0
.01, 1.275, 1, 50, 9.0, 12.0, 0.75, 25.0, 1, 6, 0
.01, 0.8374999999999999, 1, 50, 9.0, 12.0, 0.75, 25.0, 2, 5, 0
.01, 1.05625, 1, 50, 9.0, 12.0, 0.75, 25.0, 1, 22, 0
.01, 0.9468749999999999, 1, 50, 9.0, 12.0, 0.75, 25.0, 2, 11, 0
.01, 1.0015625, 1, 50, 9.0, 12.0, 0.75, 25.0, 2, 31, 0
.01, 1.02890625, 1, 50, 9.0, 12.0, 0.75, 25.0, 1, 34, 0
.01, 1.015234375, 1, 50, 9.0, 12.0, 0.75, 25.0, 1, 52, 0
.01, 1.0083984375, 1, 50, 9.0, 12.0, 0.75, 25.0, 3, 60, 0
.01, 2.15, 1, 50, 10.0, 11.0, 0.90909090909090906, 25.0, 1, 2, 0
.01, 1.275, 1, 50, 10.0, 11.0, 0.90909090909090906, 25.0, 1, 8, 0
.01, 0.8374999999999999, 1, 50, 10.0, 11.0, 0.90909090909090906, 25.0, 2, 5, 0
.01, 1.05625, 1, 50, 10.0, 11.0, 0.90909090909090906, 25.0, 2, 14, 0
.01, 1.165625, 1, 50, 10.0, 11.0, 0.90909090909090906, 25.0, 1, 18, 0
.01, 1.1109375, 1, 50, 10.0, 11.0, 0.90909090909090906, 25.0, 3, 60, 0
.01, 2.15, 1, 50, 11.0, 10.0, 1.1000000000000001, 25.0, 1, 2, 0
.01, 1.275, 1, 50, 11.0, 10.0, 1.1000000000000001, 25.0, 1, 16, 0
.01, 0.8374999999999999, 1, 50, 11.0, 10.0, 1.1000000000000001, 25.0, 2, 4, 0
.01, 1.05625, 1, 50, 11.0, 10.0, 1.1000000000000001, 25.0, 2, 8, 0
.01, 1.165625, 1, 50, 11.0, 10.0, 1.1000000000000001, 25.0, 2, 16, 0
.01, 1.2203125, 1, 50, 11.0, 10.0, 1.1000000000000001, 25.0, 3, 60, 0
.01, 2.15, 1, 50, 12.0, 9.0, 1.3333333333333333, 25.0, 1, 2, 0
.01, 1.275, 1, 50, 12.0, 9.0, 1.3333333333333333, 25.0, 2, 16, 0
.01, 1.7125, 1, 50, 12.0, 9.0, 1.3333333333333333, 25.0, 1, 4, 0
.01, 1.49375, 1, 50, 12.0, 9.0, 1.3333333333333333, 25.0, 1, 7, 0
.01, 1.384375, 1, 50, 12.0, 9.0, 1.3333333333333333, 25.0, 1, 18, 0
.01, 1.3296875, 1, 50, 12.0, 9.0, 1.3333333333333333, 25.0, 2, 39, 0
.01, 1.35703125, 1, 50, 12.0, 9.0, 1.3333333333333333, 25.0, 1, 31, 0
.01, 1.343359375, 1, 50, 12.0, 9.0, 1.3333333333333333, 25.0, 3, 60, 0
.01, 2.15, 1, 50, 13.0, 8.0, 1.625, 25.0, 1, 3, 0
.01, 1.275, 1, 50, 13.0, 8.0, 1.625, 25.0, 2, 9, 0
.01, 1.7125, 1, 50, 13.0, 8.0, 1.625, 25.0, 1, 5, 0
.01, 1.49375, 1, 50, 13.0, 8.0, 1.625, 25.0, 1, 34, 0
.01, 1.384375, 1, 50, 13.0, 8.0, 1.625, 25.0, 2, 15, 0
.01, 1.4390625, 1, 50, 13.0, 8.0, 1.625, 25.0, 2, 24, 0
.01, 1.46640625, 1, 50, 13.0, 8.0, 1.625, 25.0, 2, 38, 0
.01, 1.480078125, 1, 50, 13.0, 8.0, 1.625, 25.0, 3, 60, 0
.01, 2.15, 1, 50, 14.0, 7.0, 2.0, 25.0, 1, 3, 0
.01, 1.275, 1, 50, 14.0, 7.0, 2.0, 25.0, 2, 7, 0
.01, 1.7125, 1, 50, 14.0, 7.0, 2.0, 25.0, 1, 10, 0
.01, 1.49375, 1, 50, 14.0, 7.0, 2.0, 25.0, 2, 13, 0
.01, 1.603125, 1, 50, 14.0, 7.0, 2.0, 25.0, 2, 27, 0
.01, 1.6578125, 1, 50, 14.0, 7.0, 2.0, 25.0, 1, 30, 0
.01, 1.63046875, 1, 50, 14.0, 7.0, 2.0, 25.0, 2, 40, 0
.01, 1.644140625, 1, 50, 14.0, 7.0, 2.0, 25.0, 2, 59, 0
.01, 1.6509765625, 1, 50, 14.0, 7.0, 2.0, 25.0, 3, 60, 0
.01, 2.15, 1, 50, 15.0, 6.0, 2.5, 25.0, 1, 3, 0
.01, 1.275, 1, 50, 15.0, 6.0, 2.5, 25.0, 2, 6, 0
.01, 1.7125, 1, 50, 15.0, 6.0, 2.5, 25.0, 2, 17, 0
.01, 1.93125, 1, 50, 15.0, 6.0, 2.5, 25.0, 1, 7, 0
.01, 1.821875, 1, 50, 15.0, 6.0, 2.5, 25.0, 2, 38, 0
.01, 1.8765625, 1, 50, 15.0, 6.0, 2.5, 25.0, 1, 10, 0
.01, 1.84921875, 1, 50, 15.0, 6.0, 2.5, 25.0, 3, 60, 0
.01, 2.15, 1, 50, 16.0, 5.0, 3.2000000000000002, 25.0, 1, 6, 0
.01, 1.275, 1, 50, 16.0, 5.0, 3.2000000000000002, 25.0, 2, 5, 0
.01, 1.7125, 1, 50, 16.0, 5.0, 3.2000000000000002, 25.0, 2, 10, 0
.01, 1.93125, 1, 50, 16.0, 5.0, 3.2000000000000002, 25.0, 2, 18, 0
.01, 2.040625, 1, 50, 16.0, 5.0, 3.2000000000000002, 25.0, 2, 32, 0
.01, 2.0953125, 1, 50, 16.0, 5.0, 3.2000000000000002, 25.0, 1, 9, 0
.01, 2.06796875, 1, 50, 16.0, 5.0, 3.2000000000000002, 25.0, 2, 40, 0
.01, 2.081640625, 1, 50, 16.0, 5.0, 3.2000000000000002, 25.0, 2, 47, 0
.01, 2.0884765625, 1, 50, 16.0, 5.0, 3.2000000000000002, 25.0, 1, 11, 0
.01, 2.08505859375, 1, 50, 16.0, 5.0, 3.2000000000000002, 25.0, 1, 13, 0
.01, 2.083349609375, 1, 50, 16.0, 5.0, 3.2000000000000002, 25.0, 2, 49, 0
.01, 2.0842041015625, 1, 50, 16.0, 5.0, 3.2000000000000002, 25.0, 1, 14, 0
.01, 2.08377685546875, 1, 50, 16.0, 5.0, 3.2000000000000002, 25.0, 2, 49, 0
.01, 2.083990478515625, 1, 50, 16.0, 5.0, 3.2000000000000002, 25.0, 1, 14, 0
.01, 2.0838836669921874, 1, 50, 16.0, 5.0, 3.2000000000000002, 25.0, 2, 49, 0
.01, 2.083937072753906, 1, 50, 16.0, 5.0, 3.2000000000000002, 25.0, 2, 49, 0
