epsilon, alpha, pop1, pop2, dif1, dif2, difratio, blobsize, winner
.01, 1.25, 162.5, 100, 1.0, 20.0, 0.050000000000000003, 21.0, 2
.01, 1.625, 181.25, 100, 1.0, 20.0, 0.050000000000000003, 21.0, 2
.01, 1.8125, 190.625, 100, 1.0, 20.0, 0.050000000000000003, 21.0, 1
.01, 1.71875, 185.9375, 100, 1.0, 20.0, 0.050000000000000003, 21.0, 2
.01, 1.765625, 188.28125, 100, 1.0, 20.0, 0.050000000000000003, 21.0, 1
.01, 1.7421875, 187.109375, 100, 1.0, 20.0, 0.050000000000000003, 21.0, 2
.01, 1.75390625, 187.6953125, 100, 1.0, 20.0, 0.050000000000000003, 21.0, 1
.01, 1.748046875, 187.40234375, 100, 1.0, 20.0, 0.050000000000000003, 21.0, 2
.01, 1.7509765625, 187.548828125, 100, 1.0, 20.0, 0.050000000000000003, 21.0, 1
.01, 1.74951171875, 187.4755859375, 100, 1.0, 20.0, 0.050000000000000003, 21.0, 2
.01, 1.750244140625, 187.51220703125, 100, 1.0, 20.0, 0.050000000000000003, 21.0, 2
.01, 1.7506103515625, 187.530517578125, 100, 1.0, 20.0, 0.050000000000000003, 21.0, 1
.01, 1.75042724609375, 187.5213623046875, 100, 1.0, 20.0, 0.050000000000000003, 21.0, 2
.01, 1.750518798828125, 187.52593994140625, 100, 1.0, 20.0, 0.050000000000000003, 21.0, 1
.01, 1.7504730224609375, 187.52365112304688, 100, 1.0, 20.0, 0.050000000000000003, 21.0, 1
.01, 1.7504501342773438, 187.5225067138672, 100, 1.0, 20.0, 0.050000000000000003, 21.0, 2
.01, 1.7504615783691406, 187.52307891845703, 100, 1.0, 20.0, 0.050000000000000003, 21.0, 1
.01, 1.7504558563232422, 187.5227928161621, 100, 1.0, 20.0, 0.050000000000000003, 21.0, 2
.01, 1.7504587173461914, 187.52293586730957, 100, 1.0, 20.0, 0.050000000000000003, 21.0, 2
.01, 1.750460147857666, 187.5230073928833, 100, 1.0, 20.0, 0.050000000000000003, 21.0, 2
.01, 1.7504608631134033, 187.52304315567017, 100, 1.0, 20.0, 0.050000000000000003, 21.0, 2
.01, 1.750461220741272, 187.5230610370636, 100, 1.0, 20.0, 0.050000000000000003, 21.0, 1
.01, 1.7504610419273376, 187.52305209636688, 100, 1.0, 20.0, 0.050000000000000003, 21.0, 2
.01, 1.7504611313343048, 187.52305656671524, 100, 1.0, 20.0, 0.050000000000000003, 21.0, 1
.01, 1.7504610866308212, 187.52305433154106, 100, 1.0, 20.0, 0.050000000000000003, 21.0, 3
.01, 1.25, 162.5, 100, 2.0, 19.0, 0.10526315789473684, 21.0, 2
.01, 1.625, 181.25, 100, 2.0, 19.0, 0.10526315789473684, 21.0, 1
.01, 1.4375, 171.875, 100, 2.0, 19.0, 0.10526315789473684, 21.0, 2
.01, 1.53125, 176.5625, 100, 2.0, 19.0, 0.10526315789473684, 21.0, 2
.01, 1.578125, 178.90625, 100, 2.0, 19.0, 0.10526315789473684, 21.0, 2
.01, 1.6015625, 180.078125, 100, 2.0, 19.0, 0.10526315789473684, 21.0, 2
.01, 1.61328125, 180.6640625, 100, 2.0, 19.0, 0.10526315789473684, 21.0, 2
.01, 1.619140625, 180.95703125, 100, 2.0, 19.0, 0.10526315789473684, 21.0, 1
.01, 1.6162109375, 180.810546875, 100, 2.0, 19.0, 0.10526315789473684, 21.0, 1
.01, 1.61474609375, 180.7373046875, 100, 2.0, 19.0, 0.10526315789473684, 21.0, 2
.01, 1.615478515625, 180.77392578125, 100, 2.0, 19.0, 0.10526315789473684, 21.0, 1
.01, 1.6151123046875, 180.755615234375, 100, 2.0, 19.0, 0.10526315789473684, 21.0, 2
.01, 1.61529541015625, 180.7647705078125, 100, 2.0, 19.0, 0.10526315789473684, 21.0, 1
.01, 1.615203857421875, 180.76019287109375, 100, 2.0, 19.0, 0.10526315789473684, 21.0, 1
.01, 1.6151580810546875, 180.75790405273438, 100, 2.0, 19.0, 0.10526315789473684, 21.0, 1
.01, 1.6151351928710938, 180.7567596435547, 100, 2.0, 19.0, 0.10526315789473684, 21.0, 2
.01, 1.6151466369628906, 180.75733184814453, 100, 2.0, 19.0, 0.10526315789473684, 21.0, 2
.01, 1.615152359008789, 180.75761795043945, 100, 2.0, 19.0, 0.10526315789473684, 21.0, 2
.01, 1.6151552200317383, 180.7577610015869, 100, 2.0, 19.0, 0.10526315789473684, 21.0, 1
.01, 1.6151537895202637, 180.75768947601318, 100, 2.0, 19.0, 0.10526315789473684, 21.0, 1
.01, 1.6151530742645264, 180.75765371322632, 100, 2.0, 19.0, 0.10526315789473684, 21.0, 2
.01, 1.615153431892395, 180.75767159461975, 100, 2.0, 19.0, 0.10526315789473684, 21.0, 1
.01, 1.6151532530784607, 180.75766265392303, 100, 2.0, 19.0, 0.10526315789473684, 21.0, 2
.01, 1.6151533424854279, 180.7576671242714, 100, 2.0, 19.0, 0.10526315789473684, 21.0, 1
.01, 1.6151532977819443, 180.7576648890972, 100, 2.0, 19.0, 0.10526315789473684, 21.0, 3
.01, 1.25, 162.5, 100, 3.0, 18.0, 0.16666666666666666, 21.0, 2
.01, 1.625, 181.25, 100, 3.0, 18.0, 0.16666666666666666, 21.0, 1
.01, 1.4375, 171.875, 100, 3.0, 18.0, 0.16666666666666666, 21.0, 2
.01, 1.53125, 176.5625, 100, 3.0, 18.0, 0.16666666666666666, 21.0, 1
.01, 1.484375, 174.21875, 100, 3.0, 18.0, 0.16666666666666666, 21.0, 2
.01, 1.5078125, 175.390625, 100, 3.0, 18.0, 0.16666666666666666, 21.0, 2
.01, 1.51953125, 175.9765625, 100, 3.0, 18.0, 0.16666666666666666, 21.0, 2
.01, 1.525390625, 176.26953125, 100, 3.0, 18.0, 0.16666666666666666, 21.0, 1
.01, 1.5224609375, 176.123046875, 100, 3.0, 18.0, 0.16666666666666666, 21.0, 2
.01, 1.52392578125, 176.1962890625, 100, 3.0, 18.0, 0.16666666666666666, 21.0, 2
.01, 1.524658203125, 176.23291015625, 100, 3.0, 18.0, 0.16666666666666666, 21.0, 1
.01, 1.5242919921875, 176.214599609375, 100, 3.0, 18.0, 0.16666666666666666, 21.0, 2
.01, 1.52447509765625, 176.2237548828125, 100, 3.0, 18.0, 0.16666666666666666, 21.0, 1
.01, 1.524383544921875, 176.21917724609375, 100, 3.0, 18.0, 0.16666666666666666, 21.0, 1
.01, 1.5243377685546875, 176.21688842773438, 100, 3.0, 18.0, 0.16666666666666666, 21.0, 2
.01, 1.5243606567382812, 176.21803283691406, 100, 3.0, 18.0, 0.16666666666666666, 21.0, 2
.01, 1.5243721008300781, 176.2186050415039, 100, 3.0, 18.0, 0.16666666666666666, 21.0, 1
.01, 1.5243663787841797, 176.21831893920898, 100, 3.0, 18.0, 0.16666666666666666, 21.0, 1
.01, 1.5243635177612305, 176.21817588806152, 100, 3.0, 18.0, 0.16666666666666666, 21.0, 2
.01, 1.524364948272705, 176.21824741363525, 100, 3.0, 18.0, 0.16666666666666666, 21.0, 1
.01, 1.5243642330169678, 176.2182116508484, 100, 3.0, 18.0, 0.16666666666666666, 21.0, 1
.01, 1.5243638753890991, 176.21819376945496, 100, 3.0, 18.0, 0.16666666666666666, 21.0, 1
.01, 1.5243636965751648, 176.21818482875824, 100, 3.0, 18.0, 0.16666666666666666, 21.0, 2
.01, 1.524363785982132, 176.2181892991066, 100, 3.0, 18.0, 0.16666666666666666, 21.0, 1
.01, 1.5243637412786484, 176.21818706393242, 100, 3.0, 18.0, 0.16666666666666666, 21.0, 3
.01, 1.25, 162.5, 100, 4.0, 17.0, 0.23529411764705882, 21.0, 2
.01, 1.625, 181.25, 100, 4.0, 17.0, 0.23529411764705882, 21.0, 1
.01, 1.4375, 171.875, 100, 4.0, 17.0, 0.23529411764705882, 21.0, 2
.01, 1.53125, 176.5625, 100, 4.0, 17.0, 0.23529411764705882, 21.0, 1
.01, 1.484375, 174.21875, 100, 4.0, 17.0, 0.23529411764705882, 21.0, 1
.01, 1.4609375, 173.046875, 100, 4.0, 17.0, 0.23529411764705882, 21.0, 1
.01, 1.44921875, 172.4609375, 100, 4.0, 17.0, 0.23529411764705882, 21.0, 2
.01, 1.455078125, 172.75390625, 100, 4.0, 17.0, 0.23529411764705882, 21.0, 1
.01, 1.4521484375, 172.607421875, 100, 4.0, 17.0, 0.23529411764705882, 21.0, 2
.01, 1.45361328125, 172.6806640625, 100, 4.0, 17.0, 0.23529411764705882, 21.0, 2
.01, 1.454345703125, 172.71728515625, 100, 4.0, 17.0, 0.23529411764705882, 21.0, 1
.01, 1.4539794921875, 172.698974609375, 100, 4.0, 17.0, 0.23529411764705882, 21.0, 1
.01, 1.45379638671875, 172.6898193359375, 100, 4.0, 17.0, 0.23529411764705882, 21.0, 2
.01, 1.453887939453125, 172.69439697265625, 100, 4.0, 17.0, 0.23529411764705882, 21.0, 2
.01, 1.4539337158203125, 172.69668579101562, 100, 4.0, 17.0, 0.23529411764705882, 21.0, 2
.01, 1.4539566040039062, 172.6978302001953, 100, 4.0, 17.0, 0.23529411764705882, 21.0, 1
.01, 1.4539451599121094, 172.69725799560547, 100, 4.0, 17.0, 0.23529411764705882, 21.0, 1
.01, 1.453939437866211, 172.69697189331055, 100, 4.0, 17.0, 0.23529411764705882, 21.0, 1
.01, 1.4539365768432617, 172.6968288421631, 100, 4.0, 17.0, 0.23529411764705882, 21.0, 2
.01, 1.4539380073547363, 172.69690036773682, 100, 4.0, 17.0, 0.23529411764705882, 21.0, 1
.01, 1.453937292098999, 172.69686460494995, 100, 4.0, 17.0, 0.23529411764705882, 21.0, 2
.01, 1.4539376497268677, 172.69688248634338, 100, 4.0, 17.0, 0.23529411764705882, 21.0, 1
.01, 1.4539374709129333, 172.69687354564667, 100, 4.0, 17.0, 0.23529411764705882, 21.0, 1
.01, 1.4539373815059662, 172.6968690752983, 100, 4.0, 17.0, 0.23529411764705882, 21.0, 1
.01, 1.4539373368024826, 172.69686684012413, 100, 4.0, 17.0, 0.23529411764705882, 21.0, 3
.01, 1.25, 162.5, 100, 5.0, 16.0, 0.3125, 21.0, 2
.01, 1.625, 181.25, 100, 5.0, 16.0, 0.3125, 21.0, 1
.01, 1.4375, 171.875, 100, 5.0, 16.0, 0.3125, 21.0, 1
.01, 1.34375, 167.1875, 100, 5.0, 16.0, 0.3125, 21.0, 2
.01, 1.390625, 169.53125, 100, 5.0, 16.0, 0.3125, 21.0, 2
.01, 1.4140625, 170.703125, 100, 5.0, 16.0, 0.3125, 21.0, 1
.01, 1.40234375, 170.1171875, 100, 5.0, 16.0, 0.3125, 21.0, 1
.01, 1.396484375, 169.82421875, 100, 5.0, 16.0, 0.3125, 21.0, 1
.01, 1.3935546875, 169.677734375, 100, 5.0, 16.0, 0.3125, 21.0, 2
.01, 1.39501953125, 169.7509765625, 100, 5.0, 16.0, 0.3125, 21.0, 2
.01, 1.395751953125, 169.78759765625, 100, 5.0, 16.0, 0.3125, 21.0, 1
.01, 1.3953857421875, 169.769287109375, 100, 5.0, 16.0, 0.3125, 21.0, 1
.01, 1.39520263671875, 169.7601318359375, 100, 5.0, 16.0, 0.3125, 21.0, 2
.01, 1.395294189453125, 169.76470947265625, 100, 5.0, 16.0, 0.3125, 21.0, 1
.01, 1.3952484130859375, 169.76242065429688, 100, 5.0, 16.0, 0.3125, 21.0, 1
.01, 1.3952255249023438, 169.7612762451172, 100, 5.0, 16.0, 0.3125, 21.0, 1
.01, 1.3952140808105469, 169.76070404052734, 100, 5.0, 16.0, 0.3125, 21.0, 1
