epsilon, alpha, pop1, pop2, dif1, dif2, difratio, blobsize, winner
.01, 1.25, 162.5, 100, 1.0, 20.0, 0.050000000000000003, 20.0, 2
.01, 1.625, 181.25, 100, 1.0, 20.0, 0.050000000000000003, 20.0, 2
.01, 1.8125, 190.625, 100, 1.0, 20.0, 0.050000000000000003, 20.0, 1
.01, 1.71875, 185.9375, 100, 1.0, 20.0, 0.050000000000000003, 20.0, 2
.01, 1.765625, 188.28125, 100, 1.0, 20.0, 0.050000000000000003, 20.0, 1
.01, 1.7421875, 187.109375, 100, 1.0, 20.0, 0.050000000000000003, 20.0, 2
.01, 1.75390625, 187.6953125, 100, 1.0, 20.0, 0.050000000000000003, 20.0, 2
.01, 1.759765625, 187.98828125, 100, 1.0, 20.0, 0.050000000000000003, 20.0, 1
.01, 1.7568359375, 187.841796875, 100, 1.0, 20.0, 0.050000000000000003, 20.0, 2
.01, 1.75830078125, 187.9150390625, 100, 1.0, 20.0, 0.050000000000000003, 20.0, 2
.01, 1.759033203125, 187.95166015625, 100, 1.0, 20.0, 0.050000000000000003, 20.0, 2
.01, 1.7593994140625, 187.969970703125, 100, 1.0, 20.0, 0.050000000000000003, 20.0, 1
.01, 1.75921630859375, 187.9608154296875, 100, 1.0, 20.0, 0.050000000000000003, 20.0, 1
.01, 1.759124755859375, 187.95623779296875, 100, 1.0, 20.0, 0.050000000000000003, 20.0, 2
.01, 1.7591705322265625, 187.95852661132812, 100, 1.0, 20.0, 0.050000000000000003, 20.0, 1
.01, 1.7591476440429688, 187.95738220214844, 100, 1.0, 20.0, 0.050000000000000003, 20.0, 1
.01, 1.7591361999511719, 187.9568099975586, 100, 1.0, 20.0, 0.050000000000000003, 20.0, 1
.01, 1.7591304779052734, 187.95652389526367, 100, 1.0, 20.0, 0.050000000000000003, 20.0, 2
.01, 1.7591333389282227, 187.95666694641113, 100, 1.0, 20.0, 0.050000000000000003, 20.0, 1
.01, 1.759131908416748, 187.9565954208374, 100, 1.0, 20.0, 0.050000000000000003, 20.0, 2
.01, 1.7591326236724854, 187.95663118362427, 100, 1.0, 20.0, 0.050000000000000003, 20.0, 2
.01, 1.759132981300354, 187.9566490650177, 100, 1.0, 20.0, 0.050000000000000003, 20.0, 2
.01, 1.7591331601142883, 187.95665800571442, 100, 1.0, 20.0, 0.050000000000000003, 20.0, 1
