epsilon, alpha, pop1, pop2, dif1, dif2, difratio, blobsize, winner
.01, 1.5818311423063278, 179.0915571153164, 100, 3.0, 18.0, 0.16666666666666666, 16.0, 3
.01, 1.5105327516794205, 175.52663758397102, 100, 4.0, 17.0, 0.23529411764705882, 16.0, 3
.01, 1.4510285705327988, 172.55142852663994, 100, 5.0, 16.0, 0.3125, 16.0, 3
.01, 1.3990611284971237, 169.9530564248562, 100, 6.0, 15.0, 0.40000000000000002, 16.0, 3
.01, 1.3522083014249802, 167.610415071249, 100, 7.0, 14.0, 0.5, 16.0, 3
.01, 1.3089330047369003, 165.44665023684502, 100, 8.0, 13.0, 0.61538461538461542, 16.0, 3
.01, 1.2681734412908554, 163.40867206454277, 100, 9.0, 12.0, 0.75, 16.0, 3
.01, 1.229138806462288, 161.4569403231144, 100, 10.0, 11.0, 0.90909090909090906, 16.0, 3
.01, 1.1911953836679459, 159.5597691833973, 100, 11.0, 10.0, 1.1000000000000001, 16.0, 3
.01, 1.1537941247224808, 157.68970623612404, 100, 12.0, 9.0, 1.3333333333333333, 16.0, 3
.01, 1.1164169162511826, 155.82084581255913, 100, 13.0, 8.0, 1.625, 16.0, 3
.01, 1.0785273164510727, 153.92636582255363, 100, 14.0, 7.0, 2.0, 16.0, 3
.01, 1.0395124405622482, 151.9756220281124, 100, 15.0, 6.0, 2.5, 16.0, 3
.01, 0.9985972195863724, 149.92986097931862, 100, 16.0, 5.0, 3.2000000000000002, 16.0, 3
.01, 0.9546879380941391, 147.73439690470695, 100, 17.0, 4.0, 4.25, 16.0, 3
.01, 0.9060367792844772, 145.30183896422386, 100, 18.0, 3.0, 6.0, 16.0, 3
.01, 0.8493397980928421, 142.4669899046421, 100, 19.0, 2.0, 9.5, 16.0, 3
.01, 0.7762601524591446, 138.81300762295723, 100, 20.0, 1.0, 20.0, 16.0, 3
.01, 1.7956673055887222, 189.7833652794361, 100, 1.0, 20.0, 0.050000000000000003, 17.0, 3
.01, 1.65898497402668, 182.949248701334, 100, 2.0, 19.0, 0.10526315789473684, 17.0, 3
.01, 1.5673612505197525, 178.36806252598763, 100, 3.0, 18.0, 0.16666666666666666, 17.0, 3
.01, 1.4962797611951828, 174.81398805975914, 100, 4.0, 17.0, 0.23529411764705882, 17.0, 3
.01, 1.4369678050279617, 171.8483902513981, 100, 5.0, 16.0, 0.3125, 17.0, 3
.01, 1.3851840049028397, 169.25920024514198, 100, 6.0, 15.0, 0.40000000000000002, 17.0, 3
.01, 1.3385146409273148, 166.92573204636574, 100, 7.0, 14.0, 0.5, 17.0, 3
.01, 1.2954280823469162, 164.7714041173458, 100, 8.0, 13.0, 0.61538461538461542, 17.0, 3
.01, 1.2548661977052689, 162.74330988526344, 100, 9.0, 12.0, 0.75, 17.0, 3
.01, 1.2160414010286331, 160.80207005143166, 100, 10.0, 11.0, 0.90909090909090906, 17.0, 3
.01, 1.1783229261636734, 158.91614630818367, 100, 11.0, 10.0, 1.1000000000000001, 17.0, 3
.01, 1.141164854168892, 157.0582427084446, 100, 12.0, 9.0, 1.3333333333333333, 17.0, 3
.01, 1.104052558541298, 155.2026279270649, 100, 13.0, 8.0, 1.625, 17.0, 3
.01, 1.0664541572332382, 153.3227078616619, 100, 14.0, 7.0, 2.0, 17.0, 3
.01, 1.0277627557516098, 151.3881377875805, 100, 15.0, 6.0, 2.5, 17.0, 3
.01, 0.9872113317251205, 149.36056658625603, 100, 16.0, 5.0, 3.2000000000000002, 17.0, 3
.01, 0.9437187761068344, 147.18593880534172, 100, 17.0, 4.0, 4.25, 17.0, 3
.01, 0.8955583721399307, 144.77791860699654, 100, 18.0, 3.0, 6.0, 17.0, 3
.01, 0.839466854929924, 141.9733427464962, 100, 19.0, 2.0, 9.5, 17.0, 3
.01, 0.7672138661146164, 138.36069330573082, 100, 20.0, 1.0, 20.0, 17.0, 3
.01, 1.7825408428907394, 189.12704214453697, 100, 1.0, 20.0, 0.050000000000000003, 18.0, 3
.01, 1.646259143948555, 182.31295719742775, 100, 2.0, 19.0, 0.10526315789473684, 18.0, 3
.01, 1.5548735111951828, 177.74367555975914, 100, 3.0, 18.0, 0.16666666666666666, 18.0, 3
.01, 1.4839770048856735, 174.19885024428368, 100, 4.0, 17.0, 0.23529411764705882, 18.0, 3
.01, 1.4248293787240982, 171.2414689362049, 100, 5.0, 16.0, 0.3125, 18.0, 3
.01, 1.3732027560472488, 168.66013780236244, 100, 6.0, 15.0, 0.40000000000000002, 18.0, 3
.01, 1.326690748333931, 166.33453741669655, 100, 7.0, 14.0, 0.5, 18.0, 3
.01, 1.283766284584999, 164.18831422924995, 100, 8.0, 13.0, 0.61538461538461542, 18.0, 3
.01, 1.2433743625879288, 162.16871812939644, 100, 9.0, 12.0, 0.75, 18.0, 3
.01, 1.2047300785779953, 160.23650392889977, 100, 10.0, 11.0, 0.90909090909090906, 18.0, 3
.01, 1.1672051697969437, 158.36025848984718, 100, 11.0, 10.0, 1.1000000000000001, 18.0, 3
.01, 1.1302563101053238, 156.5128155052662, 100, 12.0, 9.0, 1.3333333333333333, 18.0, 3
.01, 1.0933720022439957, 154.66860011219978, 100, 13.0, 8.0, 1.625, 18.0, 3
.01, 1.0560239404439926, 152.80119702219963, 100, 14.0, 7.0, 2.0, 18.0, 3
.01, 1.0176105052232742, 150.8805252611637, 100, 15.0, 6.0, 2.5, 18.0, 3
.01, 0.9773713797330856, 148.86856898665428, 100, 16.0, 5.0, 3.2000000000000002, 18.0, 3
.01, 0.9342364519834518, 146.7118225991726, 100, 17.0, 4.0, 4.25, 18.0, 3
.01, 0.8864965289831161, 144.3248264491558, 100, 18.0, 3.0, 6.0, 18.0, 3
.01, 0.8309233039617538, 141.5461651980877, 100, 19.0, 2.0, 9.5, 18.0, 3
.01, 0.7593768984079361, 137.9688449203968, 100, 20.0, 1.0, 20.0, 18.0, 3
.01, 1.7702811807394028, 188.51405903697014, 100, 1.0, 20.0, 0.050000000000000003, 19.0, 3
.01, 1.6343596130609512, 181.71798065304756, 100, 2.0, 19.0, 0.10526315789473684, 19.0, 3
.01, 1.5431949943304062, 177.1597497165203, 100, 3.0, 18.0, 0.16666666666666666, 19.0, 3
.01, 1.4724724739789963, 173.6236236989498, 100, 4.0, 17.0, 0.23529411764705882, 19.0, 3
.01, 1.4134804159402847, 170.67402079701424, 100, 5.0, 16.0, 0.3125, 19.0, 3
.01, 1.3620031923055649, 168.10015961527824, 100, 6.0, 15.0, 0.40000000000000002, 19.0, 3
.01, 1.3156412094831467, 165.78206047415733, 100, 7.0, 14.0, 0.5, 19.0, 3
.01, 1.2728711515665054, 163.64355757832527, 100, 8.0, 13.0, 0.61538461538461542, 19.0, 3
.01, 1.2326409667730331, 161.63204833865166, 100, 9.0, 12.0, 0.75, 19.0, 3
.01, 1.1941682547330856, 159.70841273665428, 100, 10.0, 11.0, 0.90909090909090906, 19.0, 3
.01, 1.1568270772695541, 157.8413538634777, 100, 11.0, 10.0, 1.1000000000000001, 19.0, 3
.01, 1.1200763434171677, 156.00381717085838, 100, 12.0, 9.0, 1.3333333333333333, 19.0, 3
.01, 1.0834075063467026, 154.17037531733513, 100, 13.0, 8.0, 1.625, 19.0, 3
.01, 1.0462957471609116, 152.31478735804558, 100, 14.0, 7.0, 2.0, 19.0, 3
.01, 1.0081439167261124, 150.40719583630562, 100, 15.0, 6.0, 2.5, 19.0, 3
.01, 0.968198224902153, 148.40991124510765, 100, 16.0, 5.0, 3.2000000000000002, 19.0, 3
.01, 0.9253983944654465, 146.26991972327232, 100, 17.0, 4.0, 4.25, 19.0, 3
.01, 0.8780515044927597, 143.90257522463799, 100, 18.0, 3.0, 6.0, 19.0, 3
.01, 0.8229611665010452, 141.14805832505226, 100, 19.0, 2.0, 9.5, 19.0, 3
.01, 0.7520704716444016, 137.60352358222008, 100, 20.0, 1.0, 20.0, 19.0, 3
.01, 1.7591330260038376, 187.95665130019188, 100, 1.0, 20.0, 0.050000000000000003, 20.0, 3
.01, 1.623562291264534, 181.1781145632267, 100, 2.0, 19.0, 0.10526315789473684, 20.0, 3
.01, 1.5326113551855087, 176.63056775927544, 100, 3.0, 18.0, 0.16666666666666666, 20.0, 3
.01, 1.4620562940835953, 173.10281470417976, 100, 4.0, 17.0, 0.23529411764705882, 20.0, 3
.01, 1.4032131880521774, 170.16065940260887, 100, 5.0, 16.0, 0.3125, 20.0, 3
.01, 1.351878210902214, 167.5939105451107, 100, 6.0, 15.0, 0.40000000000000002, 20.0, 3
.01, 1.3056578487157822, 165.2828924357891, 100, 7.0, 14.0, 0.5, 20.0, 3
.01, 1.2630328088998795, 163.15164044499397, 100, 8.0, 13.0, 0.61538461538461542, 20.0, 3
.01, 1.22295381128788, 161.147690564394, 100, 9.0, 12.0, 0.75, 20.0, 3
.01, 1.1846406906843185, 159.23203453421593, 100, 10.0, 11.0, 0.90909090909090906, 20.0, 3
.01, 1.1474696546792984, 157.37348273396492, 100, 11.0, 10.0, 1.1000000000000001, 20.0, 3
.01, 1.1109019368886948, 155.54509684443474, 100, 12.0, 9.0, 1.3333333333333333, 20.0, 3
.01, 1.0744314044713974, 153.72157022356987, 100, 13.0, 8.0, 1.625, 20.0, 3
.01, 1.0375366359949112, 151.87683179974556, 100, 14.0, 7.0, 2.0, 20.0, 3
.01, 0.9996243268251419, 149.9812163412571, 100, 15.0, 6.0, 2.5, 20.0, 3
.01, 0.9599468559026718, 147.9973427951336, 100, 16.0, 5.0, 3.2000000000000002, 20.0, 3
.01, 0.9174526184797287, 145.87263092398643, 100, 17.0, 4.0, 4.25, 20.0, 3
.01, 0.8704635351896286, 143.52317675948143, 100, 18.0, 3.0, 6.0, 20.0, 3
.01, 0.8158119171857834, 140.79059585928917, 100, 19.0, 2.0, 9.5, 20.0, 3
.01, 0.7455146163702011, 137.27573081851006, 100, 20.0, 1.0, 20.0, 20.0, 3
.01, 1.7504610866308212, 187.52305433154106, 100, 1.0, 20.0, 0.050000000000000003, 21.0, 3
.01, 1.6151532977819443, 180.7576648890972, 100, 2.0, 19.0, 0.10526315789473684, 21.0, 3
.01, 1.5243637412786484, 176.21818706393242, 100, 3.0, 18.0, 0.16666666666666666, 21.0, 3
.01, 1.4539373368024826, 172.69686684012413, 100, 4.0, 17.0, 0.23529411764705882, 21.0, 3
.01, 1.395209476351738, 169.7604738175869, 100, 5.0, 16.0, 0.3125, 21.0, 3
.01, 1.3439852744340897, 167.19926372170448, 100, 6.0, 15.0, 0.40000000000000002, 21.0, 3
.01, 1.29787577688694, 164.893788844347, 100, 7.0, 14.0, 0.5, 21.0, 3
.01, 1.2553642839193344, 162.76821419596672, 100, 8.0, 13.0, 0.61538461538461542, 21.0, 3
.01, 1.2154038399457932, 160.77019199728966, 100, 9.0, 12.0, 0.75, 21.0, 3
.01, 1.17721588909626, 158.860794454813, 100, 10.0, 11.0, 0.90909090909090906, 21.0, 3
.01, 1.1401782482862473, 157.00891241431236, 100, 11.0, 10.0, 1.1000000000000001, 21.0, 3
.01, 1.103753849864006, 155.1876924932003, 100, 12.0, 9.0, 1.3333333333333333, 21.0, 3
.01, 1.067438617348671, 153.37193086743355, 100, 13.0, 8.0, 1.625, 21.0, 3
.01, 1.0307134538888931, 151.53567269444466, 100, 14.0, 7.0, 2.0, 21.0, 3
.01, 0.9929883629083633, 149.64941814541817, 100, 15.0, 6.0, 2.5, 21.0, 3
.01, 0.9535201042890549, 147.67600521445274, 100, 16.0, 5.0, 3.2000000000000002, 21.0, 3
.01, 0.9112638682126999, 145.563193410635, 100, 17.0, 4.0, 4.25, 21.0, 3
.01, 0.8645531088113785, 143.22765544056892, 100, 18.0, 3.0, 6.0, 21.0, 3
.01, 0.8102419525384903, 140.51209762692451, 100, 19.0, 2.0, 9.5, 21.0, 3
.01, 0.7404043823480606, 137.02021911740303, 100, 20.0, 1.0, 20.0, 21.0, 3
