epsilon, alpha, pop1, pop2, dif1, dif2, difratio, blobsize, winner
.01, 1.25, 162.5, 100, 1.0, 20.0, 0.050000000000000003, 22.0, 2
.01, 1.625, 181.25, 100, 1.0, 20.0, 0.050000000000000003, 22.0, 2
.01, 1.8125, 190.625, 100, 1.0, 20.0, 0.050000000000000003, 22.0, 1
.01, 1.71875, 185.9375, 100, 1.0, 20.0, 0.050000000000000003, 22.0, 2
.01, 1.765625, 188.28125, 100, 1.0, 20.0, 0.050000000000000003, 22.0, 1
.01, 1.7421875, 187.109375, 100, 1.0, 20.0, 0.050000000000000003, 22.0, 1
.01, 1.73046875, 186.5234375, 100, 1.0, 20.0, 0.050000000000000003, 22.0, 2
.01, 1.736328125, 186.81640625, 100, 1.0, 20.0, 0.050000000000000003, 22.0, 2
.01, 1.7392578125, 186.962890625, 100, 1.0, 20.0, 0.050000000000000003, 22.0, 2
.01, 1.74072265625, 187.0361328125, 100, 1.0, 20.0, 0.050000000000000003, 22.0, 2
.01, 1.741455078125, 187.07275390625, 100, 1.0, 20.0, 0.050000000000000003, 22.0, 1
.01, 1.7410888671875, 187.054443359375, 100, 1.0, 20.0, 0.050000000000000003, 22.0, 1
.01, 1.74090576171875, 187.0452880859375, 100, 1.0, 20.0, 0.050000000000000003, 22.0, 2
.01, 1.740997314453125, 187.04986572265625, 100, 1.0, 20.0, 0.050000000000000003, 22.0, 2
.01, 1.7410430908203125, 187.05215454101562, 100, 1.0, 20.0, 0.050000000000000003, 22.0, 2
.01, 1.7410659790039062, 187.0532989501953, 100, 1.0, 20.0, 0.050000000000000003, 22.0, 2
.01, 1.7410774230957031, 187.05387115478516, 100, 1.0, 20.0, 0.050000000000000003, 22.0, 2
.01, 1.7410831451416016, 187.05415725708008, 100, 1.0, 20.0, 0.050000000000000003, 22.0, 2
.01, 1.7410860061645508, 187.05430030822754, 100, 1.0, 20.0, 0.050000000000000003, 22.0, 2
.01, 1.7410874366760254, 187.05437183380127, 100, 1.0, 20.0, 0.050000000000000003, 22.0, 2
.01, 1.7410881519317627, 187.05440759658813, 100, 1.0, 20.0, 0.050000000000000003, 22.0, 1
.01, 1.741087794303894, 187.0543897151947, 100, 1.0, 20.0, 0.050000000000000003, 22.0, 2
.01, 1.7410879731178284, 187.05439865589142, 100, 1.0, 20.0, 0.050000000000000003, 22.0, 1
.01, 1.7410878837108612, 187.05439418554306, 100, 1.0, 20.0, 0.050000000000000003, 22.0, 2
.01, 1.7410879284143448, 187.05439642071724, 100, 1.0, 20.0, 0.050000000000000003, 22.0, 3
.01, 1.25, 162.5, 100, 2.0, 19.0, 0.10526315789473684, 22.0, 2
.01, 1.625, 181.25, 100, 2.0, 19.0, 0.10526315789473684, 22.0, 1
.01, 1.4375, 171.875, 100, 2.0, 19.0, 0.10526315789473684, 22.0, 2
.01, 1.53125, 176.5625, 100, 2.0, 19.0, 0.10526315789473684, 22.0, 2
.01, 1.578125, 178.90625, 100, 2.0, 19.0, 0.10526315789473684, 22.0, 2
.01, 1.6015625, 180.078125, 100, 2.0, 19.0, 0.10526315789473684, 22.0, 2
.01, 1.61328125, 180.6640625, 100, 2.0, 19.0, 0.10526315789473684, 22.0, 1
