epsilon, alpha, pop1, pop2, dif1, dif2, difratio, blobsize, winner
.01, 1.25, 162.5, 100, 1.0, 20.0, 0.050000000000000003, 18.0, 2
.01, 1.625, 181.25, 100, 1.0, 20.0, 0.050000000000000003, 18.0, 2
.01, 1.8125, 190.625, 100, 1.0, 20.0, 0.050000000000000003, 18.0, 1
.01, 1.71875, 185.9375, 100, 1.0, 20.0, 0.050000000000000003, 18.0, 2
.01, 1.765625, 188.28125, 100, 1.0, 20.0, 0.050000000000000003, 18.0, 2
.01, 1.7890625, 189.453125, 100, 1.0, 20.0, 0.050000000000000003, 18.0, 1
.01, 1.77734375, 188.8671875, 100, 1.0, 20.0, 0.050000000000000003, 18.0, 2
.01, 1.783203125, 189.16015625, 100, 1.0, 20.0, 0.050000000000000003, 18.0, 1
.01, 1.7802734375, 189.013671875, 100, 1.0, 20.0, 0.050000000000000003, 18.0, 2
.01, 1.78173828125, 189.0869140625, 100, 1.0, 20.0, 0.050000000000000003, 18.0, 2
.01, 1.782470703125, 189.12353515625, 100, 1.0, 20.0, 0.050000000000000003, 18.0, 2
.01, 1.7828369140625, 189.141845703125, 100, 1.0, 20.0, 0.050000000000000003, 18.0, 1
.01, 1.78265380859375, 189.1326904296875, 100, 1.0, 20.0, 0.050000000000000003, 18.0, 1
.01, 1.782562255859375, 189.12811279296875, 100, 1.0, 20.0, 0.050000000000000003, 18.0, 1
.01, 1.7825164794921875, 189.12582397460938, 100, 1.0, 20.0, 0.050000000000000003, 18.0, 2
.01, 1.7825393676757812, 189.12696838378906, 100, 1.0, 20.0, 0.050000000000000003, 18.0, 2
.01, 1.7825508117675781, 189.1275405883789, 100, 1.0, 20.0, 0.050000000000000003, 18.0, 1
.01, 1.7825450897216797, 189.12725448608398, 100, 1.0, 20.0, 0.050000000000000003, 18.0, 1
.01, 1.7825422286987305, 189.12711143493652, 100, 1.0, 20.0, 0.050000000000000003, 18.0, 1
.01, 1.7825407981872559, 189.1270399093628, 100, 1.0, 20.0, 0.050000000000000003, 18.0, 2
.01, 1.7825415134429932, 189.12707567214966, 100, 1.0, 20.0, 0.050000000000000003, 18.0, 1
.01, 1.7825411558151245, 189.12705779075623, 100, 1.0, 20.0, 0.050000000000000003, 18.0, 1
