epsilon, alpha, beta, pop, dif1, dif2, difratio, blobsize, winner, time, converged
.01, 0.5486816406249999, 1, 50, 3.0, 18.0, 0.16666666666666666, 24.0, 1, 57, 0
.01, 0.5478271484374999, 1, 50, 3.0, 18.0, 0.16666666666666666, 24.0, 3, 60, 0
.01, 2.15, 1, 50, 4.0, 17.0, 0.23529411764705882, 24.0, 1, 2, 0
.01, 1.275, 1, 50, 4.0, 17.0, 0.23529411764705882, 24.0, 1, 4, 0
.01, 0.8374999999999999, 1, 50, 4.0, 17.0, 0.23529411764705882, 24.0, 1, 10, 0
.01, 0.6187499999999999, 1, 50, 4.0, 17.0, 0.23529411764705882, 24.0, 1, 56, 0
.01, 0.5093749999999999, 1, 50, 4.0, 17.0, 0.23529411764705882, 24.0, 2, 3, 0
.01, 0.5640624999999999, 1, 50, 4.0, 17.0, 0.23529411764705882, 24.0, 2, 4, 0
.01, 0.5914062499999999, 1, 50, 4.0, 17.0, 0.23529411764705882, 24.0, 2, 6, 0
.01, 0.6050781249999999, 1, 50, 4.0, 17.0, 0.23529411764705882, 24.0, 2, 9, 0
.01, 0.6119140624999999, 1, 50, 4.0, 17.0, 0.23529411764705882, 24.0, 2, 13, 0
.01, 0.6153320312499999, 1, 50, 4.0, 17.0, 0.23529411764705882, 24.0, 2, 19, 0
.01, 0.6170410156249999, 1, 50, 4.0, 17.0, 0.23529411764705882, 24.0, 2, 51, 0
.01, 0.6178955078124999, 1, 50, 4.0, 17.0, 0.23529411764705882, 24.0, 3, 60, 0
.01, 2.15, 1, 50, 5.0, 16.0, 0.3125, 24.0, 1, 2, 0
.01, 1.275, 1, 50, 5.0, 16.0, 0.3125, 24.0, 1, 4, 0
.01, 0.8374999999999999, 1, 50, 5.0, 16.0, 0.3125, 24.0, 1, 13, 0
.01, 0.6187499999999999, 1, 50, 5.0, 16.0, 0.3125, 24.0, 2, 5, 0
.01, 0.7281249999999999, 1, 50, 5.0, 16.0, 0.3125, 24.0, 1, 28, 0
.01, 0.6734374999999999, 1, 50, 5.0, 16.0, 0.3125, 24.0, 2, 11, 0
.01, 0.7007812499999999, 1, 50, 5.0, 16.0, 0.3125, 24.0, 1, 41, 0
.01, 0.6871093749999999, 1, 50, 5.0, 16.0, 0.3125, 24.0, 2, 24, 0
.01, 0.6939453124999999, 1, 50, 5.0, 16.0, 0.3125, 24.0, 1, 49, 0
.01, 0.6905273437499999, 1, 50, 5.0, 16.0, 0.3125, 24.0, 1, 60, 0
.01, 0.6888183593749999, 1, 50, 5.0, 16.0, 0.3125, 24.0, 2, 39, 0
.01, 0.6896728515624999, 1, 50, 5.0, 16.0, 0.3125, 24.0, 3, 60, 0
.01, 2.15, 1, 50, 6.0, 15.0, 0.40000000000000002, 24.0, 1, 2, 0
.01, 1.275, 1, 50, 6.0, 15.0, 0.40000000000000002, 24.0, 1, 4, 0
