epsilon, alpha, pop1, pop2, dif1, dif2, difratio, blobsize, winner
.01, 1.25, 162.5, 100, 1.0, 20.0, 0.050000000000000003, 13.0, 2
.01, 1.625, 181.25, 100, 1.0, 20.0, 0.050000000000000003, 13.0, 2
.01, 1.8125, 190.625, 100, 1.0, 20.0, 0.050000000000000003, 13.0, 2
.01, 1.90625, 195.3125, 100, 1.0, 20.0, 0.050000000000000003, 13.0, 1
.01, 1.859375, 192.96875, 100, 1.0, 20.0, 0.050000000000000003, 13.0, 2
.01, 1.8828125, 194.140625, 100, 1.0, 20.0, 0.050000000000000003, 13.0, 1
.01, 1.87109375, 193.5546875, 100, 1.0, 20.0, 0.050000000000000003, 13.0, 1
.01, 1.865234375, 193.26171875, 100, 1.0, 20.0, 0.050000000000000003, 13.0, 2
.01, 1.8681640625, 193.408203125, 100, 1.0, 20.0, 0.050000000000000003, 13.0, 2
.01, 1.86962890625, 193.4814453125, 100, 1.0, 20.0, 0.050000000000000003, 13.0, 1
.01, 1.868896484375, 193.44482421875, 100, 1.0, 20.0, 0.050000000000000003, 13.0, 2
.01, 1.8692626953125, 193.463134765625, 100, 1.0, 20.0, 0.050000000000000003, 13.0, 1
.01, 1.86907958984375, 193.4539794921875, 100, 1.0, 20.0, 0.050000000000000003, 13.0, 2
.01, 1.869171142578125, 193.45855712890625, 100, 1.0, 20.0, 0.050000000000000003, 13.0, 2
.01, 1.8692169189453125, 193.46084594726562, 100, 1.0, 20.0, 0.050000000000000003, 13.0, 2
.01, 1.8692398071289062, 193.4619903564453, 100, 1.0, 20.0, 0.050000000000000003, 13.0, 2
.01, 1.8692512512207031, 193.46256256103516, 100, 1.0, 20.0, 0.050000000000000003, 13.0, 2
.01, 1.8692569732666016, 193.46284866333008, 100, 1.0, 20.0, 0.050000000000000003, 13.0, 2
.01, 1.8692598342895508, 193.46299171447754, 100, 1.0, 20.0, 0.050000000000000003, 13.0, 1
.01, 1.8692584037780762, 193.4629201889038, 100, 1.0, 20.0, 0.050000000000000003, 13.0, 1
.01, 1.8692576885223389, 193.46288442611694, 100, 1.0, 20.0, 0.050000000000000003, 13.0, 1
.01, 1.8692573308944702, 193.4628665447235, 100, 1.0, 20.0, 0.050000000000000003, 13.0, 1
.01, 1.8692571520805359, 193.4628576040268, 100, 1.0, 20.0, 0.050000000000000003, 13.0, 1
.01, 1.8692570626735687, 193.46285313367844, 100, 1.0, 20.0, 0.050000000000000003, 13.0, 1
.01, 1.8692570179700851, 193.46285089850426, 100, 1.0, 20.0, 0.050000000000000003, 13.0, 3
.01, 1.25, 162.5, 100, 2.0, 19.0, 0.10526315789473684, 13.0, 2
.01, 1.625, 181.25, 100, 2.0, 19.0, 0.10526315789473684, 13.0, 2
.01, 1.8125, 190.625, 100, 2.0, 19.0, 0.10526315789473684, 13.0, 1
.01, 1.71875, 185.9375, 100, 2.0, 19.0, 0.10526315789473684, 13.0, 2
.01, 1.765625, 188.28125, 100, 2.0, 19.0, 0.10526315789473684, 13.0, 1
.01, 1.7421875, 187.109375, 100, 2.0, 19.0, 0.10526315789473684, 13.0, 1
.01, 1.73046875, 186.5234375, 100, 2.0, 19.0, 0.10526315789473684, 13.0, 1
.01, 1.724609375, 186.23046875, 100, 2.0, 19.0, 0.10526315789473684, 13.0, 2
.01, 1.7275390625, 186.376953125, 100, 2.0, 19.0, 0.10526315789473684, 13.0, 2
.01, 1.72900390625, 186.4501953125, 100, 2.0, 19.0, 0.10526315789473684, 13.0, 2
.01, 1.729736328125, 186.48681640625, 100, 2.0, 19.0, 0.10526315789473684, 13.0, 2
.01, 1.7301025390625, 186.505126953125, 100, 2.0, 19.0, 0.10526315789473684, 13.0, 2
.01, 1.73028564453125, 186.5142822265625, 100, 2.0, 19.0, 0.10526315789473684, 13.0, 2
.01, 1.730377197265625, 186.51885986328125, 100, 2.0, 19.0, 0.10526315789473684, 13.0, 1
.01, 1.7303314208984375, 186.51657104492188, 100, 2.0, 19.0, 0.10526315789473684, 13.0, 2
.01, 1.7303543090820312, 186.51771545410156, 100, 2.0, 19.0, 0.10526315789473684, 13.0, 1
.01, 1.7303428649902344, 186.51714324951172, 100, 2.0, 19.0, 0.10526315789473684, 13.0, 2
.01, 1.7303485870361328, 186.51742935180664, 100, 2.0, 19.0, 0.10526315789473684, 13.0, 2
.01, 1.730351448059082, 186.5175724029541, 100, 2.0, 19.0, 0.10526315789473684, 13.0, 2
.01, 1.7303528785705566, 186.51764392852783, 100, 2.0, 19.0, 0.10526315789473684, 13.0, 2
.01, 1.730353593826294, 186.5176796913147, 100, 2.0, 19.0, 0.10526315789473684, 13.0, 2
.01, 1.7303539514541626, 186.51769757270813, 100, 2.0, 19.0, 0.10526315789473684, 13.0, 2
.01, 1.730354130268097, 186.51770651340485, 100, 2.0, 19.0, 0.10526315789473684, 13.0, 1
.01, 1.7303540408611298, 186.5177020430565, 100, 2.0, 19.0, 0.10526315789473684, 13.0, 1
.01, 1.7303539961576462, 186.5176998078823, 100, 2.0, 19.0, 0.10526315789473684, 13.0, 3
.01, 1.25, 162.5, 100, 3.0, 18.0, 0.16666666666666666, 13.0, 2
.01, 1.625, 181.25, 100, 3.0, 18.0, 0.16666666666666666, 13.0, 2
.01, 1.8125, 190.625, 100, 3.0, 18.0, 0.16666666666666666, 13.0, 1
.01, 1.71875, 185.9375, 100, 3.0, 18.0, 0.16666666666666666, 13.0, 1
.01, 1.671875, 183.59375, 100, 3.0, 18.0, 0.16666666666666666, 13.0, 1
.01, 1.6484375, 182.421875, 100, 3.0, 18.0, 0.16666666666666666, 13.0, 1
.01, 1.63671875, 181.8359375, 100, 3.0, 18.0, 0.16666666666666666, 13.0, 2
.01, 1.642578125, 182.12890625, 100, 3.0, 18.0, 0.16666666666666666, 13.0, 1
.01, 1.6396484375, 181.982421875, 100, 3.0, 18.0, 0.16666666666666666, 13.0, 1
.01, 1.63818359375, 181.9091796875, 100, 3.0, 18.0, 0.16666666666666666, 13.0, 1
.01, 1.637451171875, 181.87255859375, 100, 3.0, 18.0, 0.16666666666666666, 13.0, 1
.01, 1.6370849609375, 181.854248046875, 100, 3.0, 18.0, 0.16666666666666666, 13.0, 2
.01, 1.63726806640625, 181.8634033203125, 100, 3.0, 18.0, 0.16666666666666666, 13.0, 2
.01, 1.637359619140625, 181.86798095703125, 100, 3.0, 18.0, 0.16666666666666666, 13.0, 2
.01, 1.6374053955078125, 181.87026977539062, 100, 3.0, 18.0, 0.16666666666666666, 13.0, 2
.01, 1.6374282836914062, 181.8714141845703, 100, 3.0, 18.0, 0.16666666666666666, 13.0, 2
.01, 1.6374397277832031, 181.87198638916016, 100, 3.0, 18.0, 0.16666666666666666, 13.0, 2
.01, 1.6374454498291016, 181.87227249145508, 100, 3.0, 18.0, 0.16666666666666666, 13.0, 1
.01, 1.6374425888061523, 181.87212944030762, 100, 3.0, 18.0, 0.16666666666666666, 13.0, 1
