epsilon, alpha, pop1, pop2, dif1, dif2, difratio, blobsize, winner
.01, 1.25, 162.5, 100, 1.0, 20.0, 0.050000000000000003, 19.0, 2
.01, 1.625, 181.25, 100, 1.0, 20.0, 0.050000000000000003, 19.0, 2
.01, 1.8125, 190.625, 100, 1.0, 20.0, 0.050000000000000003, 19.0, 1
.01, 1.71875, 185.9375, 100, 1.0, 20.0, 0.050000000000000003, 19.0, 2
.01, 1.765625, 188.28125, 100, 1.0, 20.0, 0.050000000000000003, 19.0, 2
.01, 1.7890625, 189.453125, 100, 1.0, 20.0, 0.050000000000000003, 19.0, 1
.01, 1.77734375, 188.8671875, 100, 1.0, 20.0, 0.050000000000000003, 19.0, 1
.01, 1.771484375, 188.57421875, 100, 1.0, 20.0, 0.050000000000000003, 19.0, 1
.01, 1.7685546875, 188.427734375, 100, 1.0, 20.0, 0.050000000000000003, 19.0, 2
.01, 1.77001953125, 188.5009765625, 100, 1.0, 20.0, 0.050000000000000003, 19.0, 2
.01, 1.770751953125, 188.53759765625, 100, 1.0, 20.0, 0.050000000000000003, 19.0, 1
.01, 1.7703857421875, 188.519287109375, 100, 1.0, 20.0, 0.050000000000000003, 19.0, 1
.01, 1.77020263671875, 188.5101318359375, 100, 1.0, 20.0, 0.050000000000000003, 19.0, 2
.01, 1.770294189453125, 188.51470947265625, 100, 1.0, 20.0, 0.050000000000000003, 19.0, 1
.01, 1.7702484130859375, 188.51242065429688, 100, 1.0, 20.0, 0.050000000000000003, 19.0, 2
.01, 1.7702713012695312, 188.51356506347656, 100, 1.0, 20.0, 0.050000000000000003, 19.0, 2
.01, 1.7702827453613281, 188.5141372680664, 100, 1.0, 20.0, 0.050000000000000003, 19.0, 1
.01, 1.7702770233154297, 188.51385116577148, 100, 1.0, 20.0, 0.050000000000000003, 19.0, 2
.01, 1.770279884338379, 188.51399421691895, 100, 1.0, 20.0, 0.050000000000000003, 19.0, 2
.01, 1.7702813148498535, 188.51406574249268, 100, 1.0, 20.0, 0.050000000000000003, 19.0, 1
.01, 1.7702805995941162, 188.5140299797058, 100, 1.0, 20.0, 0.050000000000000003, 19.0, 2
.01, 1.7702809572219849, 188.51404786109924, 100, 1.0, 20.0, 0.050000000000000003, 19.0, 2
