epsilon, alpha, pop1, pop2, dif1, dif2, difratio, winner
.01, 1.2762767702341078, 163.8138385117054, 50, 4.0, 17.0, 0.23529411764705882, 2
.01, 1.276276825368404, 163.8138412684202, 50, 4.0, 17.0, 0.23529411764705882, 3
.01, 2.15, 207.5, 50, 5.0, 16.0, 0.3125, 1
.01, 1.2249999999999999, 161.24999999999997, 50, 5.0, 16.0, 0.3125, 1
.01, 0.7625, 138.125, 50, 5.0, 16.0, 0.3125, 2
.01, 0.9937499999999999, 149.6875, 50, 5.0, 16.0, 0.3125, 2
.01, 1.109375, 155.46875, 50, 5.0, 16.0, 0.3125, 2
.01, 1.1671874999999998, 158.359375, 50, 5.0, 16.0, 0.3125, 2
.01, 1.1960937499999997, 159.80468749999997, 50, 5.0, 16.0, 0.3125, 2
.01, 1.210546875, 160.52734375, 50, 5.0, 16.0, 0.3125, 2
.01, 1.2177734375, 160.888671875, 50, 5.0, 16.0, 0.3125, 2
.01, 1.2213867187499998, 161.0693359375, 50, 5.0, 16.0, 0.3125, 1
.01, 1.219580078125, 160.97900390625, 50, 5.0, 16.0, 0.3125, 2
.01, 1.2204833984374999, 161.02416992187497, 50, 5.0, 16.0, 0.3125, 2
.01, 1.2209350585937497, 161.04675292968747, 50, 5.0, 16.0, 0.3125, 1
.01, 1.220709228515625, 161.03546142578125, 50, 5.0, 16.0, 0.3125, 1
.01, 1.2205963134765625, 161.02981567382812, 50, 5.0, 16.0, 0.3125, 1
.01, 1.220539855957031, 161.02699279785156, 50, 5.0, 16.0, 0.3125, 1
.01, 1.2205116271972654, 161.02558135986325, 50, 5.0, 16.0, 0.3125, 1
.01, 1.2204975128173827, 161.02487564086914, 50, 5.0, 16.0, 0.3125, 2
.01, 1.220504570007324, 161.0252285003662, 50, 5.0, 16.0, 0.3125, 2
.01, 1.2205080986022947, 161.02540493011475, 50, 5.0, 16.0, 0.3125, 1
.01, 1.2205063343048095, 161.02531671524048, 50, 5.0, 16.0, 0.3125, 2
.01, 1.220507216453552, 161.02536082267758, 50, 5.0, 16.0, 0.3125, 2
.01, 1.2205076575279232, 161.02538287639615, 50, 5.0, 16.0, 0.3125, 1
.01, 1.2205074369907376, 161.02537184953687, 50, 5.0, 16.0, 0.3125, 2
.01, 1.2205075472593303, 161.0253773629665, 50, 5.0, 16.0, 0.3125, 2
.01, 1.2205076023936268, 161.02538011968136, 50, 5.0, 16.0, 0.3125, 3
.01, 2.15, 207.5, 50, 6.0, 15.0, 0.40000000000000002, 1
.01, 1.2249999999999999, 161.24999999999997, 50, 6.0, 15.0, 0.40000000000000002, 1
.01, 0.7625, 138.125, 50, 6.0, 15.0, 0.40000000000000002, 2
.01, 0.9937499999999999, 149.6875, 50, 6.0, 15.0, 0.40000000000000002, 2
.01, 1.109375, 155.46875, 50, 6.0, 15.0, 0.40000000000000002, 2
.01, 1.1671874999999998, 158.359375, 50, 6.0, 15.0, 0.40000000000000002, 2
.01, 1.1960937499999997, 159.80468749999997, 50, 6.0, 15.0, 0.40000000000000002, 1
.01, 1.1816406249999998, 159.08203125, 50, 6.0, 15.0, 0.40000000000000002, 1
.01, 1.1744140625, 158.720703125, 50, 6.0, 15.0, 0.40000000000000002, 1
.01, 1.1708007812499999, 158.54003906249997, 50, 6.0, 15.0, 0.40000000000000002, 2
.01, 1.172607421875, 158.63037109375, 50, 6.0, 15.0, 0.40000000000000002, 1
.01, 1.1717041015624998, 158.585205078125, 50, 6.0, 15.0, 0.40000000000000002, 2
.01, 1.17215576171875, 158.6077880859375, 50, 6.0, 15.0, 0.40000000000000002, 1
.01, 1.1719299316406249, 158.59649658203122, 50, 6.0, 15.0, 0.40000000000000002, 2
.01, 1.1720428466796875, 158.60214233398438, 50, 6.0, 15.0, 0.40000000000000002, 2
.01, 1.1720993041992187, 158.60496520996094, 50, 6.0, 15.0, 0.40000000000000002, 2
.01, 1.1721275329589842, 158.60637664794922, 50, 6.0, 15.0, 0.40000000000000002, 1
.01, 1.1721134185791016, 158.60567092895508, 50, 6.0, 15.0, 0.40000000000000002, 2
.01, 1.1721204757690429, 158.60602378845215, 50, 6.0, 15.0, 0.40000000000000002, 1
.01, 1.1721169471740722, 158.6058473587036, 50, 6.0, 15.0, 0.40000000000000002, 2
.01, 1.1721187114715574, 158.60593557357788, 50, 6.0, 15.0, 0.40000000000000002, 2
.01, 1.1721195936203002, 158.605979681015, 50, 6.0, 15.0, 0.40000000000000002, 2
.01, 1.1721200346946716, 158.60600173473358, 50, 6.0, 15.0, 0.40000000000000002, 1
.01, 1.1721198141574858, 158.6059907078743, 50, 6.0, 15.0, 0.40000000000000002, 2
.01, 1.1721199244260787, 158.60599622130394, 50, 6.0, 15.0, 0.40000000000000002, 1
.01, 1.1721198692917822, 158.6059934645891, 50, 6.0, 15.0, 0.40000000000000002, 3
.01, 2.15, 207.5, 50, 7.0, 14.0, 0.5, 1
.01, 1.2249999999999999, 161.24999999999997, 50, 7.0, 14.0, 0.5, 1
.01, 0.7625, 138.125, 50, 7.0, 14.0, 0.5, 2
.01, 0.9937499999999999, 149.6875, 50, 7.0, 14.0, 0.5, 2
.01, 1.109375, 155.46875, 50, 7.0, 14.0, 0.5, 2
.01, 1.1671874999999998, 158.359375, 50, 7.0, 14.0, 0.5, 1
.01, 1.13828125, 156.9140625, 50, 7.0, 14.0, 0.5, 1
.01, 1.123828125, 156.19140625, 50, 7.0, 14.0, 0.5, 2
.01, 1.1310546874999998, 156.552734375, 50, 7.0, 14.0, 0.5, 1
.01, 1.12744140625, 156.3720703125, 50, 7.0, 14.0, 0.5, 2
.01, 1.129248046875, 156.46240234375, 50, 7.0, 14.0, 0.5, 1
.01, 1.1283447265625, 156.417236328125, 50, 7.0, 14.0, 0.5, 2
.01, 1.1287963867187498, 156.4398193359375, 50, 7.0, 14.0, 0.5, 2
.01, 1.1290222167968749, 156.45111083984372, 50, 7.0, 14.0, 0.5, 1
.01, 1.1289093017578122, 156.4454650878906, 50, 7.0, 14.0, 0.5, 1
.01, 1.128852844238281, 156.44264221191406, 50, 7.0, 14.0, 0.5, 1
.01, 1.1288246154785155, 156.44123077392578, 50, 7.0, 14.0, 0.5, 2
.01, 1.1288387298583982, 156.4419364929199, 50, 7.0, 14.0, 0.5, 1
.01, 1.1288316726684569, 156.44158363342285, 50, 7.0, 14.0, 0.5, 1
.01, 1.1288281440734862, 156.4414072036743, 50, 7.0, 14.0, 0.5, 1
.01, 1.128826379776001, 156.44131898880005, 50, 7.0, 14.0, 0.5, 1
.01, 1.1288254976272583, 156.44127488136292, 50, 7.0, 14.0, 0.5, 2
.01, 1.1288259387016297, 156.44129693508148, 50, 7.0, 14.0, 0.5, 1
.01, 1.1288257181644439, 156.4412859082222, 50, 7.0, 14.0, 0.5, 2
.01, 1.1288258284330368, 156.44129142165184, 50, 7.0, 14.0, 0.5, 1
.01, 1.1288257732987403, 156.44128866493702, 50, 7.0, 14.0, 0.5, 3
.01, 2.15, 207.5, 50, 8.0, 13.0, 0.61538461538461542, 1
.01, 1.2249999999999999, 161.24999999999997, 50, 8.0, 13.0, 0.61538461538461542, 1
.01, 0.7625, 138.125, 50, 8.0, 13.0, 0.61538461538461542, 2
.01, 0.9937499999999999, 149.6875, 50, 8.0, 13.0, 0.61538461538461542, 2
.01, 1.109375, 155.46875, 50, 8.0, 13.0, 0.61538461538461542, 1
.01, 1.0515625, 152.578125, 50, 8.0, 13.0, 0.61538461538461542, 2
.01, 1.08046875, 154.0234375, 50, 8.0, 13.0, 0.61538461538461542, 2
.01, 1.094921875, 154.74609375, 50, 8.0, 13.0, 0.61538461538461542, 1
.01, 1.0876953125000002, 154.384765625, 50, 8.0, 13.0, 0.61538461538461542, 2
.01, 1.09130859375, 154.5654296875, 50, 8.0, 13.0, 0.61538461538461542, 1
.01, 1.089501953125, 154.47509765625, 50, 8.0, 13.0, 0.61538461538461542, 1
.01, 1.0885986328125001, 154.42993164062503, 50, 8.0, 13.0, 0.61538461538461542, 2
.01, 1.08905029296875, 154.4525146484375, 50, 8.0, 13.0, 0.61538461538461542, 2
.01, 1.089276123046875, 154.46380615234375, 50, 8.0, 13.0, 0.61538461538461542, 1
.01, 1.0891632080078124, 154.45816040039062, 50, 8.0, 13.0, 0.61538461538461542, 2
.01, 1.0892196655273438, 154.4609832763672, 50, 8.0, 13.0, 0.61538461538461542, 1
.01, 1.0891914367675781, 154.4595718383789, 50, 8.0, 13.0, 0.61538461538461542, 1
.01, 1.0891773223876953, 154.45886611938477, 50, 8.0, 13.0, 0.61538461538461542, 1
.01, 1.0891702651977537, 154.4585132598877, 50, 8.0, 13.0, 0.61538461538461542, 2
.01, 1.0891737937927246, 154.45868968963623, 50, 8.0, 13.0, 0.61538461538461542, 1
.01, 1.0891720294952392, 154.45860147476196, 50, 8.0, 13.0, 0.61538461538461542, 1
.01, 1.0891711473464964, 154.4585573673248, 50, 8.0, 13.0, 0.61538461538461542, 2
.01, 1.089171588420868, 154.4585794210434, 50, 8.0, 13.0, 0.61538461538461542, 2
.01, 1.0891718089580535, 154.45859044790268, 50, 8.0, 13.0, 0.61538461538461542, 1
.01, 1.0891716986894608, 154.45858493447304, 50, 8.0, 13.0, 0.61538461538461542, 2
.01, 1.089171753823757, 154.45858769118786, 50, 8.0, 13.0, 0.61538461538461542, 3
.01, 2.15, 207.5, 50, 9.0, 12.0, 0.75, 1
.01, 1.2249999999999999, 161.24999999999997, 50, 9.0, 12.0, 0.75, 1
.01, 0.7625, 138.125, 50, 9.0, 12.0, 0.75, 2
.01, 0.9937499999999999, 149.6875, 50, 9.0, 12.0, 0.75, 2
.01, 1.109375, 155.46875, 50, 9.0, 12.0, 0.75, 1
.01, 1.0515625, 152.578125, 50, 9.0, 12.0, 0.75, 2
.01, 1.08046875, 154.0234375, 50, 9.0, 12.0, 0.75, 1
.01, 1.066015625, 153.30078125, 50, 9.0, 12.0, 0.75, 1
.01, 1.0587890624999998, 152.939453125, 50, 9.0, 12.0, 0.75, 1
.01, 1.05517578125, 152.7587890625, 50, 9.0, 12.0, 0.75, 1
.01, 1.053369140625, 152.66845703125, 50, 9.0, 12.0, 0.75, 1
.01, 1.0524658203125, 152.623291015625, 50, 9.0, 12.0, 0.75, 1
.01, 1.0520141601562498, 152.6007080078125, 50, 9.0, 12.0, 0.75, 2
.01, 1.0522399902343749, 152.61199951171872, 50, 9.0, 12.0, 0.75, 1
.01, 1.0521270751953122, 152.6063537597656, 50, 9.0, 12.0, 0.75, 2
.01, 1.0521835327148437, 152.6091766357422, 50, 9.0, 12.0, 0.75, 1
.01, 1.052155303955078, 152.6077651977539, 50, 9.0, 12.0, 0.75, 2
.01, 1.0521694183349608, 152.60847091674802, 50, 9.0, 12.0, 0.75, 1
.01, 1.0521623611450193, 152.60811805725095, 50, 9.0, 12.0, 0.75, 1
.01, 1.0521588325500486, 152.60794162750244, 50, 9.0, 12.0, 0.75, 1
.01, 1.0521570682525634, 152.60785341262817, 50, 9.0, 12.0, 0.75, 1
.01, 1.0521561861038207, 152.607809305191, 50, 9.0, 12.0, 0.75, 1
.01, 1.0521557450294492, 152.60778725147244, 50, 9.0, 12.0, 0.75, 1
.01, 1.0521555244922636, 152.6077762246132, 50, 9.0, 12.0, 0.75, 2
.01, 1.0521556347608563, 152.6077817380428, 50, 9.0, 12.0, 0.75, 2
.01, 1.0521556898951527, 152.60778449475762, 50, 9.0, 12.0, 0.75, 3
.01, 2.15, 207.5, 50, 10.0, 11.0, 0.90909090909090906, 1
.01, 1.2249999999999999, 161.24999999999997, 50, 10.0, 11.0, 0.90909090909090906, 1
.01, 0.7625, 138.125, 50, 10.0, 11.0, 0.90909090909090906, 2
.01, 0.9937499999999999, 149.6875, 50, 10.0, 11.0, 0.90909090909090906, 2
.01, 1.109375, 155.46875, 50, 10.0, 11.0, 0.90909090909090906, 1
.01, 1.0515625, 152.578125, 50, 10.0, 11.0, 0.90909090909090906, 1
.01, 1.0226562499999998, 151.1328125, 50, 10.0, 11.0, 0.90909090909090906, 1
.01, 1.0082031249999999, 150.41015624999997, 50, 10.0, 11.0, 0.90909090909090906, 2
.01, 1.0154296874999997, 150.77148437499997, 50, 10.0, 11.0, 0.90909090909090906, 2
.01, 1.0190429687499998, 150.9521484375, 50, 10.0, 11.0, 0.90909090909090906, 1
.01, 1.0172363281249996, 150.86181640624997, 50, 10.0, 11.0, 0.90909090909090906, 1
.01, 1.0163330078124997, 150.81665039062497, 50, 10.0, 11.0, 0.90909090909090906, 2
.01, 1.0167846679687496, 150.83923339843747, 50, 10.0, 11.0, 0.90909090909090906, 2
.01, 1.0170104980468746, 150.85052490234375, 50, 10.0, 11.0, 0.90909090909090906, 2
.01, 1.0171234130859372, 150.85617065429685, 50, 10.0, 11.0, 0.90909090909090906, 1
.01, 1.0170669555664058, 150.85334777832028, 50, 10.0, 11.0, 0.90909090909090906, 1
.01, 1.01703872680664, 150.851936340332, 50, 10.0, 11.0, 0.90909090909090906, 1
.01, 1.0170246124267575, 150.85123062133786, 50, 10.0, 11.0, 0.90909090909090906, 2
.01, 1.0170316696166988, 150.85158348083493, 50, 10.0, 11.0, 0.90909090909090906, 2
.01, 1.0170351982116694, 150.85175991058347, 50, 10.0, 11.0, 0.90909090909090906, 2
.01, 1.0170369625091547, 150.85184812545774, 50, 10.0, 11.0, 0.90909090909090906, 1
.01, 1.0170360803604122, 150.8518040180206, 50, 10.0, 11.0, 0.90909090909090906, 2
.01, 1.0170365214347834, 150.85182607173917, 50, 10.0, 11.0, 0.90909090909090906, 1
.01, 1.0170363008975978, 150.85181504487988, 50, 10.0, 11.0, 0.90909090909090906, 1
.01, 1.017036190629005, 150.85180953145024, 50, 10.0, 11.0, 0.90909090909090906, 2
.01, 1.0170362457633013, 150.85181228816506, 50, 10.0, 11.0, 0.90909090909090906, 3
.01, 2.15, 207.5, 50, 11.0, 10.0, 1.1000000000000001, 1
.01, 1.2249999999999999, 161.24999999999997, 50, 11.0, 10.0, 1.1000000000000001, 1
.01, 0.7625, 138.125, 50, 11.0, 10.0, 1.1000000000000001, 2
.01, 0.9937499999999999, 149.6875, 50, 11.0, 10.0, 1.1000000000000001, 1
.01, 0.8781249999999999, 143.90625, 50, 11.0, 10.0, 1.1000000000000001, 2
.01, 0.9359374999999999, 146.79687499999997, 50, 11.0, 10.0, 1.1000000000000001, 2
.01, 0.9648437499999999, 148.2421875, 50, 11.0, 10.0, 1.1000000000000001, 2
.01, 0.979296875, 148.96484375, 50, 11.0, 10.0, 1.1000000000000001, 2
.01, 0.9865234374999999, 149.326171875, 50, 11.0, 10.0, 1.1000000000000001, 1
.01, 0.98291015625, 149.1455078125, 50, 11.0, 10.0, 1.1000000000000001, 2
.01, 0.9847167968749999, 149.23583984375, 50, 11.0, 10.0, 1.1000000000000001, 1
.01, 0.9838134765625, 149.190673828125, 50, 11.0, 10.0, 1.1000000000000001, 1
.01, 0.98336181640625, 149.1680908203125, 50, 11.0, 10.0, 1.1000000000000001, 1
.01, 0.983135986328125, 149.15679931640625, 50, 11.0, 10.0, 1.1000000000000001, 2
.01, 0.9832489013671875, 149.16244506835938, 50, 11.0, 10.0, 1.1000000000000001, 1
.01, 0.9831924438476562, 149.1596221923828, 50, 11.0, 10.0, 1.1000000000000001, 2
.01, 0.9832206726074219, 149.1610336303711, 50, 11.0, 10.0, 1.1000000000000001, 2
.01, 0.9832347869873046, 149.16173934936523, 50, 11.0, 10.0, 1.1000000000000001, 1
.01, 0.9832277297973633, 149.16138648986816, 50, 11.0, 10.0, 1.1000000000000001, 1
.01, 0.9832242012023926, 149.16121006011963, 50, 11.0, 10.0, 1.1000000000000001, 2
.01, 0.983225965499878, 149.1612982749939, 50, 11.0, 10.0, 1.1000000000000001, 1
.01, 0.9832250833511353, 149.16125416755676, 50, 11.0, 10.0, 1.1000000000000001, 2
.01, 0.9832255244255066, 149.16127622127533, 50, 11.0, 10.0, 1.1000000000000001, 1
.01, 0.983225303888321, 149.16126519441605, 50, 11.0, 10.0, 1.1000000000000001, 2
.01, 0.9832254141569138, 149.1612707078457, 50, 11.0, 10.0, 1.1000000000000001, 2
.01, 0.9832254692912101, 149.1612734645605, 50, 11.0, 10.0, 1.1000000000000001, 3
.01, 2.15, 207.5, 50, 12.0, 9.0, 1.3333333333333333, 1
.01, 1.2249999999999999, 161.24999999999997, 50, 12.0, 9.0, 1.3333333333333333, 1
.01, 0.7625, 138.125, 50, 12.0, 9.0, 1.3333333333333333, 2
.01, 0.9937499999999999, 149.6875, 50, 12.0, 9.0, 1.3333333333333333, 1
.01, 0.8781249999999999, 143.90625, 50, 12.0, 9.0, 1.3333333333333333, 2
.01, 0.9359374999999999, 146.79687499999997, 50, 12.0, 9.0, 1.3333333333333333, 2
.01, 0.9648437499999999, 148.2421875, 50, 12.0, 9.0, 1.3333333333333333, 1
.01, 0.9503906249999998, 147.51953125, 50, 12.0, 9.0, 1.3333333333333333, 1
.01, 0.9431640624999998, 147.15820312499997, 50, 12.0, 9.0, 1.3333333333333333, 2
.01, 0.9467773437499998, 147.3388671875, 50, 12.0, 9.0, 1.3333333333333333, 2
.01, 0.9485839843749998, 147.42919921875, 50, 12.0, 9.0, 1.3333333333333333, 2
.01, 0.9494873046874999, 147.47436523437497, 50, 12.0, 9.0, 1.3333333333333333, 2
.01, 0.9499389648437498, 147.49694824218747, 50, 12.0, 9.0, 1.3333333333333333, 2
.01, 0.9501647949218748, 147.50823974609375, 50, 12.0, 9.0, 1.3333333333333333, 2
.01, 0.9502777099609373, 147.51388549804688, 50, 12.0, 9.0, 1.3333333333333333, 1
.01, 0.950221252441406, 147.51106262207028, 50, 12.0, 9.0, 1.3333333333333333, 2
.01, 0.9502494812011717, 147.5124740600586, 50, 12.0, 9.0, 1.3333333333333333, 1
.01, 0.9502353668212888, 147.51176834106445, 50, 12.0, 9.0, 1.3333333333333333, 1
.01, 0.9502283096313474, 147.51141548156735, 50, 12.0, 9.0, 1.3333333333333333, 1
.01, 0.9502247810363766, 147.51123905181882, 50, 12.0, 9.0, 1.3333333333333333, 1
.01, 0.9502230167388913, 147.51115083694458, 50, 12.0, 9.0, 1.3333333333333333, 1
